date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-02-12,33,20,0.0,11.6,7,68,09:41 PM,09:12 AM,06:21 AM,06:01 PM,16,28,28,27,5,11,57,0.0,1011,33,10,156,4,El%20Salvador
2020-02-13,34,19,0.0,11.6,7,60,10:37 PM,09:58 AM,06:21 AM,06:01 PM,17,28,28,27,7,18,64,0.0,1011,34,10,148,5,El%20Salvador
2020-02-14,35,19,0.0,11.6,7,53,11:35 PM,10:43 AM,06:20 AM,06:02 PM,16,28,28,27,8,11,60,0.0,1013,35,10,222,5,El%20Salvador
2020-02-15,34,18,0.0,11.6,7,45,No moonrise,11:30 AM,06:20 AM,06:02 PM,15,26,26,25,12,18,57,0.0,1013,34,10,229,8,El%20Salvador
2020-02-16,36,19,0.0,11.6,7,38,12:31 AM,12:18 PM,06:19 AM,06:02 PM,15,27,27,27,10,4,59,0.0,1011,36,10,257,7,El%20Salvador
2020-02-17,37,17,0.0,11.6,7,30,01:29 AM,01:09 PM,06:19 AM,06:03 PM,15,29,29,28,9,6,58,0.0,1010,37,10,256,6,El%20Salvador
2020-02-18,37,18,0.0,11.6,8,22,02:24 AM,02:01 PM,06:19 AM,06:03 PM,16,29,29,28,10,8,60,0.0,1010,37,10,265,6,El%20Salvador
2020-02-19,37,19,0.0,11.6,8,15,03:19 AM,02:54 PM,06:18 AM,06:03 PM,17,30,30,29,8,8,61,0.0,1012,37,10,260,5,El%20Salvador
2020-02-20,37,20,0.0,11.6,8,7,04:11 AM,03:48 PM,06:18 AM,06:03 PM,17,30,30,29,9,9,60,0.0,1012,37,10,266,6,El%20Salvador
2020-02-21,34,20,0.0,11.6,7,0,04:59 AM,04:40 PM,06:17 AM,06:04 PM,16,28,28,27,12,15,59,0.0,1014,34,10,219,9,El%20Salvador
2020-02-22,33,20,0.0,11.6,7,0,05:44 AM,05:31 PM,06:17 AM,06:04 PM,15,27,27,26,12,14,56,0.0,1015,33,10,268,9,El%20Salvador
2020-02-23,35,18,0.0,11.6,7,0,06:26 AM,06:19 PM,06:16 AM,06:04 PM,17,28,28,27,10,14,63,0.0,1014,35,10,273,7,El%20Salvador
2020-02-24,32,18,0.0,8.8,6,0,07:05 AM,07:06 PM,06:16 AM,06:04 PM,18,25,25,24,9,41,72,0.2,1013,32,9,237,6,El%20Salvador
2020-02-25,31,19,0.0,11.6,6,8,07:42 AM,07:52 PM,06:15 AM,06:04 PM,18,25,25,24,7,25,72,0.0,1012,31,7,201,5,El%20Salvador
2020-02-26,35,18,0.0,11.6,7,15,08:18 AM,08:38 PM,06:15 AM,06:05 PM,17,25,25,25,7,7,66,0.0,1013,35,10,158,5,El%20Salvador
2020-02-27,33,20,0.0,11.6,7,23,08:54 AM,09:24 PM,06:14 AM,06:05 PM,17,26,26,25,10,23,64,0.0,1014,33,10,221,7,El%20Salvador
2020-02-28,33,17,0.0,11.6,7,30,09:30 AM,10:10 PM,06:14 AM,06:05 PM,15,24,24,24,14,18,61,0.0,1016,33,10,261,10,El%20Salvador
2020-02-29,32,17,0.0,11.6,7,38,10:08 AM,10:58 PM,06:13 AM,06:05 PM,13,25,25,24,16,8,57,0.0,1017,32,10,219,12,El%20Salvador
2020-03-01,36,16,0.0,11.6,7,44,10:49 AM,11:49 PM,06:13 AM,06:05 PM,14,27,27,26,11,13,55,0.0,1015,36,10,305,7,El%20Salvador
