date_time,Ukraine_maxtempC,Ukraine_mintempC,Ukraine_totalSnow_cm,Ukraine_sunHour,Ukraine_uvIndex,Ukraine_moon_illumination,Ukraine_moonrise,Ukraine_moonset,Ukraine_sunrise,Ukraine_sunset,Ukraine_DewPointC,Ukraine_FeelsLikeC,Ukraine_HeatIndexC,Ukraine_WindChillC,Ukraine_WindGustKmph,Ukraine_cloudcover,Ukraine_humidity,Ukraine_precipMM,Ukraine_pressure,Ukraine_tempC,Ukraine_visibility,Ukraine_winddirDegree,Ukraine_windspeedKmph,Ukraine_location
2020-02-13,1,-5,0.3,3.7,1,60,10:45 PM,09:31 AM,07:14 AM,05:11 PM,-2,-5,0,-5,30,71,81,0.8,1013,1,9,274,19,Ukraine
2020-02-14,4,-3,0.0,3.8,1,53,No moonrise,09:54 AM,07:13 AM,05:13 PM,-2,-2,2,-2,21,69,75,0.0,1020,4,10,192,13,Ukraine
2020-02-15,3,-1,0.0,3.8,1,45,12:05 AM,10:18 AM,07:11 AM,05:14 PM,1,-1,2,-1,14,98,90,0.2,1023,3,8,242,9,Ukraine
2020-02-16,5,1,0.0,8.7,2,38,01:24 AM,10:47 AM,07:09 AM,05:16 PM,-0,-0,2,-0,17,34,82,0.0,1031,5,9,215,11,Ukraine
2020-02-17,8,3,0.0,8.7,3,30,02:38 AM,11:21 AM,07:07 AM,05:18 PM,0,1,5,1,33,45,71,0.0,1024,8,10,209,21,Ukraine
2020-02-18,8,3,0.0,8.7,2,22,03:48 AM,12:02 PM,07:05 AM,05:20 PM,1,2,5,2,22,37,74,0.0,1018,8,10,236,15,Ukraine
2020-02-19,7,0,0.0,8.7,3,15,04:48 AM,12:52 PM,07:03 AM,05:21 PM,0,2,4,2,17,10,73,0.0,1019,7,10,265,12,Ukraine
2020-02-20,6,3,0.0,3.8,1,7,05:39 AM,01:49 PM,07:01 AM,05:23 PM,0,2,4,2,13,73,76,0.1,1019,6,10,220,8,Ukraine
2020-02-21,6,1,0.0,4.0,1,0,06:19 AM,02:53 PM,06:59 AM,05:25 PM,-0,1,3,1,14,86,79,0.0,1022,6,10,162,10,Ukraine
2020-02-22,6,1,0.0,4.0,1,0,06:52 AM,03:59 PM,06:57 AM,05:27 PM,-2,0,3,0,15,65,72,0.1,1024,6,10,193,10,Ukraine
2020-02-23,7,3,0.0,4.0,1,0,07:19 AM,05:06 PM,06:55 AM,05:28 PM,-1,-0,4,-0,34,77,71,1.0,1012,7,10,252,23,Ukraine
2020-02-24,3,2,0.0,4.0,1,0,07:41 AM,06:12 PM,06:53 AM,05:30 PM,-0,-2,3,-2,37,83,81,10.7,1000,3,6,278,26,Ukraine
2020-02-25,4,-1,0.0,4.1,1,8,07:59 AM,07:19 PM,06:51 AM,05:32 PM,-1,-1,2,-1,26,73,76,0.0,1008,4,10,241,18,Ukraine
2020-02-26,5,-2,0.0,4.1,1,15,08:17 AM,08:23 PM,06:49 AM,05:34 PM,3,2,4,2,16,100,87,4.3,1000,5,7,189,10,Ukraine
2020-02-27,7,4,0.0,4.1,2,23,08:34 AM,09:29 PM,06:47 AM,05:35 PM,3,3,5,3,14,93,87,7.2,998,7,9,238,10,Ukraine
2020-02-28,9,2,0.0,8.7,3,30,08:51 AM,10:34 PM,06:45 AM,05:37 PM,-1,3,5,3,14,45,67,0.0,1003,9,10,293,11,Ukraine
2020-02-29,7,2,0.0,8.7,2,38,09:10 AM,11:41 PM,06:43 AM,05:39 PM,-2,2,4,2,14,23,66,0.0,1015,7,10,265,10,Ukraine
2020-03-01,8,2,0.0,4.1,2,44,09:32 AM,No moonset,06:41 AM,05:40 PM,-2,1,5,1,33,60,60,0.0,1015,8,10,187,22,Ukraine
2020-03-02,7,4,0.0,4.1,2,51,09:59 AM,12:48 AM,06:39 AM,05:42 PM,2,2,6,2,34,84,73,1.0,1009,7,8,181,24,Ukraine
2020-03-03,13,3,0.0,8.7,3,58,10:32 AM,01:56 AM,06:37 AM,05:44 PM,3,6,9,6,25,40,68,0.2,1008,13,10,192,16,Ukraine
2020-03-04,16,7,0.0,8.7,4,65,11:16 AM,03:02 AM,06:35 AM,05:45 PM,7,10,11,10,20,39,78,0.0,1008,16,8,163,13,Ukraine
2020-03-05,14,10,0.0,5.7,3,73,12:10 PM,04:02 AM,06:33 AM,05:47 PM,6,10,12,10,19,75,68,0.0,1007,14,10,166,12,Ukraine
2020-03-06,15,10,0.0,7.2,3,80,01:19 PM,04:55 AM,06:30 AM,05:49 PM,8,12,12,12,9,74,75,0.1,1006,15,10,204,6,Ukraine
2020-03-07,14,10,0.0,4.2,3,87,02:36 PM,05:39 AM,06:28 AM,05:50 PM,6,10,12,10,18,79,68,0.2,1007,14,10,181,13,Ukraine
2020-03-08,9,8,0.0,4.2,2,95,04:01 PM,06:14 AM,06:26 AM,05:52 PM,6,8,9,8,7,72,85,6.5,1015,9,8,158,5,Ukraine
2020-03-09,11,2,0.0,4.2,2,100,05:27 PM,06:43 AM,06:24 AM,05:54 PM,5,7,9,7,15,84,76,6.2,1013,11,8,266,11,Ukraine
2020-03-10,12,6,0.0,4.2,3,100,06:53 PM,07:08 AM,06:22 AM,05:55 PM,8,8,10,8,17,96,86,0.0,1012,12,6,237,12,Ukraine
2020-03-11,10,4,0.0,7.2,2,84,08:19 PM,07:32 AM,06:20 AM,05:57 PM,3,5,8,5,23,50,72,0.5,1009,10,8,279,17,Ukraine
2020-03-12,14,3,0.0,5.8,3,76,09:44 PM,07:55 AM,06:17 AM,05:58 PM,4,7,9,7,32,45,68,0.2,1012,14,10,256,20,Ukraine
2020-03-13,10,8,0.0,10.2,2,69,11:07 PM,08:19 AM,06:15 AM,06:00 PM,0,7,10,7,27,61,54,1.2,1009,10,10,267,19,Ukraine
2020-03-14,7,0,0.2,5.9,1,62,No moonrise,08:46 AM,06:13 AM,06:02 PM,-3,-0,4,-0,34,66,59,0.5,1011,7,8,282,26,Ukraine
2020-03-15,2,-2,0.0,10.2,1,55,12:26 AM,09:19 AM,06:11 AM,06:03 PM,-12,-6,0,-6,31,36,41,0.1,1024,2,9,325,24,Ukraine
2020-03-16,7,2,0.0,10.2,1,47,01:40 AM,09:59 AM,06:09 AM,06:05 PM,-8,2,4,2,13,16,42,0.0,1031,7,10,262,10,Ukraine
2020-03-17,6,3,0.0,6.0,1,40,02:44 AM,10:47 AM,06:07 AM,06:06 PM,-2,2,4,2,17,85,65,0.1,1027,6,10,186,11,Ukraine
2020-03-18,11,3,0.0,11.6,3,33,03:39 AM,11:43 AM,06:04 AM,06:08 PM,2,6,7,6,7,15,72,0.0,1030,11,10,195,6,Ukraine
2020-03-19,16,6,0.0,11.6,4,25,04:22 AM,12:44 PM,06:02 AM,06:10 PM,3,9,10,9,20,19,63,0.0,1023,16,10,263,13,Ukraine
2020-03-20,12,8,0.0,12.1,4,18,04:56 AM,01:50 PM,06:00 AM,06:11 PM,1,9,10,9,13,28,59,0.2,1021,12,10,333,10,Ukraine
2020-03-21,9,6,0.0,7.8,2,11,05:24 AM,02:57 PM,05:58 AM,06:13 PM,-2,6,8,6,12,74,49,0.0,1018,9,10,170,9,Ukraine
2020-03-22,3,1,5.1,7.9,1,4,05:47 AM,04:03 PM,05:56 AM,06:14 PM,0,-2,2,-2,23,100,87,6.0,1018,3,4,263,17,Ukraine
2020-03-23,2,-1,0.0,12.6,2,0,06:06 AM,05:09 PM,05:54 AM,06:16 PM,-11,-5,0,-5,26,8,43,0.0,1032,2,10,40,21,Ukraine
2020-03-24,3,-1,0.0,12.7,2,0,06:23 AM,06:14 PM,05:51 AM,06:18 PM,-11,-4,1,-4,22,0,43,0.0,1036,3,10,40,18,Ukraine
2020-03-25,6,1,0.0,12.7,2,3,06:40 AM,07:20 PM,05:49 AM,06:19 PM,-8,-0,3,-0,16,0,44,0.0,1037,6,10,51,14,Ukraine
2020-03-26,11,2,0.0,12.7,3,11,06:57 AM,08:25 PM,05:47 AM,06:21 PM,-5,4,6,4,14,2,45,0.0,1035,11,10,64,12,Ukraine
2020-03-27,12,4,0.0,11.9,2,18,07:15 AM,09:32 PM,05:45 AM,06:23 PM,-3,6,8,6,19,38,49,0.0,1028,12,10,71,13,Ukraine
2020-03-28,14,7,0.0,12.8,4,25,07:36 AM,10:39 PM,05:43 AM,06:24 PM,1,9,10,9,15,41,56,0.0,1018,14,10,75,11,Ukraine
2020-03-29,15,8,0.0,12.9,4,32,08:00 AM,11:47 PM,05:41 AM,06:26 PM,2,11,12,11,8,17,53,0.0,1007,15,10,273,6,Ukraine
2020-03-30,8,2,0.1,8.1,2,40,08:30 AM,No moonset,05:38 AM,06:27 PM,2,4,7,4,20,81,74,0.2,1009,8,9,320,15,Ukraine
2020-03-31,4,-1,0.3,11.9,1,44,09:08 AM,12:52 AM,05:36 AM,06:29 PM,-8,-3,2,-3,22,63,54,0.7,1019,4,9,329,17,Ukraine
2020-04-01,7,1,0.0,11.9,1,56,09:57 AM,01:54 AM,05:34 AM,06:31 PM,-8,0,3,0,21,55,44,0.0,1019,7,10,242,16,Ukraine
2020-04-02,10,2,0.0,13.0,3,64,10:58 AM,02:48 AM,05:32 AM,06:32 PM,-5,2,6,2,24,12,48,0.0,1013,10,10,256,18,Ukraine
2020-04-03,12,5,0.0,13.0,3,71,12:09 PM,03:34 AM,05:30 AM,06:34 PM,-3,6,8,6,23,9,44,0.0,1011,12,10,229,17,Ukraine
2020-04-04,11,5,0.0,13.1,3,79,01:29 PM,04:11 AM,05:27 AM,06:35 PM,-3,6,8,6,17,16,48,0.0,1021,11,10,298,13,Ukraine
2020-04-05,10,4,0.0,13.1,3,87,02:53 PM,04:41 AM,05:25 AM,06:37 PM,-5,5,8,5,17,4,40,0.0,1033,10,10,242,14,Ukraine
2020-04-06,15,6,0.0,13.2,4,94,04:18 PM,05:08 AM,05:23 AM,06:39 PM,-2,9,10,9,10,3,44,0.0,1037,15,10,312,8,Ukraine
2020-04-07,19,9,0.0,13.2,4,100,05:45 PM,05:31 AM,05:21 AM,06:40 PM,2,13,13,13,5,3,46,0.0,1036,19,10,161,4,Ukraine
2020-04-08,18,10,0.0,13.2,4,100,07:12 PM,05:54 AM,05:19 AM,06:42 PM,2,13,14,13,18,2,44,0.0,1028,18,10,237,14,Ukraine
2020-04-09,19,8,0.0,13.3,5,83,08:38 PM,06:17 AM,05:17 AM,06:43 PM,4,13,14,13,11,6,53,0.0,1021,19,10,204,8,Ukraine
2020-04-10,11,7,0.0,10.8,3,76,10:02 PM,06:43 AM,05:14 AM,06:45 PM,-0,8,10,8,28,47,50,0.4,1016,11,10,311,21,Ukraine
2020-04-11,11,5,0.0,13.4,2,68,11:23 PM,07:14 AM,05:12 AM,06:47 PM,-4,5,8,5,23,23,44,0.1,1022,11,10,330,17,Ukraine
2020-04-12,11,2,0.0,13.4,3,61,No moonrise,07:52 AM,05:10 AM,06:48 PM,-6,6,7,6,11,21,38,0.0,1026,11,10,273,8,Ukraine
2020-04-13,18,6,0.0,13.4,4,53,12:34 AM,08:37 AM,05:08 AM,06:50 PM,0,10,11,10,29,21,47,0.0,1013,18,10,202,20,Ukraine
2020-04-14,7,4,5.6,8.4,2,46,01:35 AM,09:33 AM,05:06 AM,06:51 PM,1,4,7,4,23,87,66,18.3,1007,7,7,297,17,Ukraine
2020-04-15,9,3,0.0,12.1,2,38,02:22 AM,10:34 AM,05:04 AM,06:53 PM,-4,2,6,2,28,39,50,0.0,1013,9,10,286,21,Ukraine
2020-04-16,16,2,0.0,10.9,3,30,03:00 AM,11:40 AM,05:02 AM,06:55 PM,3,8,10,8,35,68,62,0.6,1010,16,9,283,27,Ukraine
2020-04-17,12,6,0.0,13.3,2,23,03:30 AM,12:47 PM,05:00 AM,06:56 PM,-2,6,9,6,26,29,50,0.9,1011,12,10,298,20,Ukraine
2020-04-18,10,4,0.0,14.0,3,15,03:53 AM,01:54 PM,04:58 AM,06:58 PM,-4,4,7,4,22,18,48,0.0,1016,10,10,307,17,Ukraine
2020-04-19,12,5,0.0,10.1,2,8,04:13 AM,03:00 PM,04:55 AM,07:00 PM,-2,6,8,6,15,74,49,0.8,1016,12,10,278,11,Ukraine
2020-04-20,11,4,0.0,14.5,2,0,04:31 AM,04:06 PM,04:53 AM,07:01 PM,-2,5,7,5,21,42,55,0.3,1018,11,10,345,16,Ukraine
2020-04-21,11,4,0.0,12.3,2,0,04:47 AM,05:11 PM,04:51 AM,07:03 PM,-1,5,8,5,20,46,56,0.2,1022,11,10,297,14,Ukraine
2020-04-22,12,5,0.0,13.4,2,0,05:04 AM,06:17 PM,04:49 AM,07:04 PM,0,6,8,6,19,37,57,0.0,1022,12,10,294,14,Ukraine
2020-04-23,15,6,0.0,14.5,3,0,05:21 AM,07:24 PM,04:47 AM,07:06 PM,2,10,11,10,16,26,55,0.0,1020,15,10,274,12,Ukraine
2020-04-24,16,9,0.0,14.5,4,7,05:41 AM,08:31 PM,04:45 AM,07:08 PM,4,11,12,11,20,27,57,0.0,1010,16,10,267,15,Ukraine
2020-04-25,16,11,0.0,9.2,3,15,06:03 AM,09:40 PM,04:44 AM,07:09 PM,6,12,13,12,26,87,62,5.0,999,16,10,245,19,Ukraine
2020-04-26,12,7,0.0,14.5,3,22,06:31 AM,10:46 PM,04:42 AM,07:11 PM,0,7,10,7,29,48,55,1.6,1002,12,10,344,23,Ukraine
2020-04-27,13,5,0.0,14.5,4,30,07:07 AM,11:49 PM,04:40 AM,07:12 PM,0,7,9,7,21,31,54,0.0,1010,13,10,300,15,Ukraine
2020-04-28,15,7,0.0,14.5,4,37,07:52 AM,No moonset,04:38 AM,07:14 PM,2,10,11,10,17,32,55,0.0,1014,15,10,238,12,Ukraine
2020-04-29,20,10,0.0,14.5,5,45,08:47 AM,12:45 AM,04:36 AM,07:16 PM,8,14,15,14,26,16,63,0.0,1007,20,10,201,18,Ukraine
2020-04-30,20,12,0.0,11.4,4,52,09:54 AM,01:33 AM,04:34 AM,07:17 PM,10,15,16,15,18,54,73,1.2,1006,20,10,185,13,Ukraine
2020-05-01,14,10,0.0,9.3,3,58,11:08 AM,02:11 AM,04:32 AM,07:19 PM,9,11,12,11,11,97,82,0.3,1009,14,10,203,9,Ukraine
2020-05-02,21,11,0.0,10.3,4,65,12:28 PM,02:43 AM,04:31 AM,07:20 PM,11,16,16,16,16,62,72,1.1,1007,21,10,133,12,Ukraine
2020-05-03,21,14,0.0,9.3,4,72,01:50 PM,03:09 AM,04:29 AM,07:22 PM,12,17,17,17,17,77,73,12.2,1007,21,9,202,11,Ukraine
2020-05-04,21,14,0.0,12.4,4,80,03:14 PM,03:33 AM,04:27 AM,07:23 PM,12,17,17,17,10,68,74,20.8,1008,21,9,188,6,Ukraine
2020-05-05,15,13,0.0,10.4,3,87,04:38 PM,03:54 AM,04:25 AM,07:25 PM,10,13,14,13,19,75,79,0.5,1007,15,10,325,15,Ukraine
2020-05-06,14,10,0.0,10.4,3,94,06:04 PM,04:16 AM,04:24 AM,07:26 PM,8,11,12,11,16,67,78,3.7,1002,14,10,275,13,Ukraine
2020-05-07,14,9,0.0,10.4,3,100,07:31 PM,04:40 AM,04:22 AM,07:28 PM,6,10,11,10,10,77,70,5.4,1003,14,10,264,7,Ukraine
2020-05-08,13,1,0.0,13.5,3,100,08:55 PM,05:08 AM,04:20 AM,07:30 PM,3,6,9,6,23,45,65,0.6,1014,13,10,325,17,Ukraine
2020-05-09,16,7,0.0,13.5,3,84,10:13 PM,05:43 AM,04:19 AM,07:31 PM,4,11,12,11,13,40,59,0.1,1015,16,10,282,9,Ukraine
2020-05-10,19,10,0.0,12.5,4,77,11:22 PM,06:25 AM,04:17 AM,07:33 PM,7,14,14,14,14,46,64,0.8,1012,19,10,280,10,Ukraine
2020-05-11,23,13,0.0,13.5,4,70,No moonrise,07:18 AM,04:16 AM,07:34 PM,12,18,19,18,20,27,69,0.5,1009,23,10,197,15,Ukraine
2020-05-12,18,7,0.0,9.5,3,62,12:17 AM,08:18 AM,04:14 AM,07:36 PM,8,11,14,11,35,79,71,8.2,1003,18,10,252,25,Ukraine
2020-05-13,14,5,0.0,14.5,4,55,01:00 AM,09:25 AM,04:13 AM,07:37 PM,1,7,10,7,23,16,56,0.0,1017,14,10,266,17,Ukraine
2020-05-14,12,8,0.0,9.5,2,48,01:33 AM,10:33 AM,04:11 AM,07:38 PM,7,8,10,8,17,100,82,15.7,1012,12,9,167,12,Ukraine
2020-05-15,16,7,0.0,11.5,3,40,01:59 AM,11:42 AM,04:10 AM,07:40 PM,6,11,12,11,12,58,71,0.9,1015,16,10,252,9,Ukraine
2020-05-16,16,10,0.0,12.5,3,33,02:20 AM,12:49 PM,04:08 AM,07:41 PM,7,12,13,12,17,64,70,14.8,1015,16,9,233,13,Ukraine
2020-05-17,16,9,0.0,11.6,3,26,02:38 AM,01:55 PM,04:07 AM,07:43 PM,6,11,12,11,22,43,65,0.9,1023,16,10,277,16,Ukraine
2020-05-18,16,9,0.0,12.5,3,19,02:55 AM,03:00 PM,04:06 AM,07:44 PM,7,10,12,10,29,42,71,1.8,1019,16,10,288,21,Ukraine
2020-05-19,14,8,0.0,9.6,3,11,03:11 AM,04:06 PM,04:05 AM,07:45 PM,9,10,11,10,16,87,88,6.4,1017,14,8,241,10,Ukraine
2020-05-20,14,11,0.0,10.6,3,4,03:28 AM,05:13 PM,04:03 AM,07:47 PM,7,10,12,10,25,72,72,1.9,1013,14,9,309,18,Ukraine
