date_time,Venezuela_maxtempC,Venezuela_mintempC,Venezuela_totalSnow_cm,Venezuela_sunHour,Venezuela_uvIndex,Venezuela_moon_illumination,Venezuela_moonrise,Venezuela_moonset,Venezuela_sunrise,Venezuela_sunset,Venezuela_DewPointC,Venezuela_FeelsLikeC,Venezuela_HeatIndexC,Venezuela_WindChillC,Venezuela_WindGustKmph,Venezuela_cloudcover,Venezuela_humidity,Venezuela_precipMM,Venezuela_pressure,Venezuela_tempC,Venezuela_visibility,Venezuela_winddirDegree,Venezuela_windspeedKmph,Venezuela_location
2020-03-23,23,16,0.0,6.0,5,0,06:09 AM,06:19 PM,06:30 AM,06:38 PM,17,20,21,20,13,71,85,6.0,1015,23,8,71,8,Venezuela
2020-03-24,24,15,0.0,8.8,5,0,06:46 AM,07:03 PM,06:29 AM,06:38 PM,18,20,21,20,10,54,82,1.8,1014,24,10,73,7,Venezuela
2020-03-25,24,13,0.0,8.8,5,3,07:23 AM,07:48 PM,06:28 AM,06:38 PM,16,21,21,20,11,50,80,2.0,1012,24,10,75,7,Venezuela
2020-03-26,25,16,0.0,10.2,5,11,08:00 AM,08:33 PM,06:28 AM,06:38 PM,15,19,19,19,11,41,79,0.5,1011,25,10,64,7,Venezuela
2020-03-27,24,15,0.0,11.6,6,18,08:39 AM,09:19 PM,06:27 AM,06:38 PM,14,19,20,19,9,11,74,0.0,1011,24,10,41,6,Venezuela
2020-03-28,22,14,0.0,8.8,4,25,09:20 AM,10:07 PM,06:27 AM,06:38 PM,15,18,18,18,11,38,82,1.7,1011,22,10,60,6,Venezuela
2020-03-29,24,14,0.0,11.6,5,32,10:03 AM,10:58 PM,06:26 AM,06:38 PM,16,22,22,21,13,34,79,0.3,1013,24,9,72,10,Venezuela
2020-03-30,23,16,0.0,10.2,5,40,10:50 AM,11:51 PM,06:25 AM,06:38 PM,17,20,21,20,14,53,81,1.1,1012,23,10,67,10,Venezuela
2020-03-31,23,12,0.0,8.8,5,44,11:41 AM,No moonset,06:25 AM,06:38 PM,16,19,20,19,9,47,79,0.3,1011,23,10,84,6,Venezuela
2020-04-01,25,15,0.0,8.8,5,56,12:35 PM,12:45 AM,06:24 AM,06:38 PM,18,22,22,21,6,57,78,0.6,1010,25,10,101,5,Venezuela
2020-04-02,26,17,0.0,11.6,5,64,01:33 PM,01:41 AM,06:24 AM,06:38 PM,15,21,21,21,6,37,72,0.1,1011,26,10,95,3,Venezuela
2020-04-03,26,18,0.0,6.1,5,71,02:32 PM,02:36 AM,06:23 AM,06:38 PM,17,22,22,21,6,68,76,14.1,1010,26,8,93,4,Venezuela
2020-04-04,23,18,0.0,6.1,5,79,03:33 PM,03:30 AM,06:22 AM,06:38 PM,17,20,21,20,7,72,82,14.7,1010,23,9,126,4,Venezuela
