date_time,Peru_maxtempC,Peru_mintempC,Peru_totalSnow_cm,Peru_sunHour,Peru_uvIndex,Peru_moon_illumination,Peru_moonrise,Peru_moonset,Peru_sunrise,Peru_sunset,Peru_DewPointC,Peru_FeelsLikeC,Peru_HeatIndexC,Peru_WindChillC,Peru_WindGustKmph,Peru_cloudcover,Peru_humidity,Peru_precipMM,Peru_pressure,Peru_tempC,Peru_visibility,Peru_winddirDegree,Peru_windspeedKmph,Peru_location
2020-02-01,25,21,0.0,10.2,5,49,12:01 PM,No moonset,06:03 AM,06:40 PM,19,25,25,23,16,54,79,0.0,1015,25,10,191,12,Peru
2020-02-02,25,21,0.0,10.2,5,57,12:49 PM,12:02 AM,06:03 AM,06:40 PM,19,25,25,23,17,68,81,0.1,1016,25,10,186,13,Peru
2020-02-03,25,21,0.0,8.9,5,64,01:41 PM,12:44 AM,06:04 AM,06:40 PM,19,24,24,23,18,73,79,0.0,1016,25,10,182,14,Peru
2020-02-04,25,20,0.0,8.9,5,72,02:34 PM,01:30 AM,06:04 AM,06:40 PM,18,24,24,22,18,68,77,0.0,1016,25,10,176,15,Peru
2020-02-05,25,18,0.0,8.9,5,79,03:31 PM,02:20 AM,06:04 AM,06:39 PM,18,24,24,22,15,55,79,0.0,1014,25,10,187,12,Peru
2020-02-06,25,20,0.0,11.6,6,87,04:29 PM,03:15 AM,06:05 AM,06:39 PM,18,25,25,23,17,38,76,0.0,1015,25,10,180,13,Peru
2020-02-07,25,19,0.0,11.6,6,95,05:29 PM,04:15 AM,06:05 AM,06:39 PM,18,24,24,22,16,17,75,0.0,1015,25,10,184,12,Peru
2020-02-08,25,21,0.0,10.2,5,100,06:25 PM,05:17 AM,06:06 AM,06:39 PM,18,25,25,23,15,39,75,0.0,1014,25,10,193,12,Peru
2020-02-09,24,19,0.0,11.6,6,100,07:20 PM,06:20 AM,06:06 AM,06:38 PM,18,24,24,22,16,28,75,0.0,1015,24,10,183,12,Peru
2020-02-10,25,22,0.0,11.6,6,83,08:11 PM,07:22 AM,06:06 AM,06:38 PM,18,25,25,23,15,28,74,0.0,1015,25,10,182,12,Peru
2020-02-11,24,21,0.0,10.2,5,75,08:59 PM,08:21 AM,06:06 AM,06:38 PM,18,24,24,22,16,50,78,1.0,1014,24,10,188,12,Peru
2020-02-12,24,19,0.0,6.2,5,68,09:46 PM,09:20 AM,06:07 AM,06:38 PM,19,24,24,22,16,75,80,0.0,1014,24,10,190,12,Peru
2020-02-13,24,19,0.0,8.9,5,60,10:32 PM,10:16 AM,06:07 AM,06:37 PM,19,24,24,22,16,64,80,0.0,1013,24,10,183,13,Peru
2020-02-14,25,21,0.0,11.6,6,53,11:19 PM,11:13 AM,06:07 AM,06:37 PM,18,24,24,23,15,39,77,0.0,1014,25,10,187,12,Peru
2020-02-15,24,20,0.0,6.1,5,45,No moonrise,12:09 PM,06:08 AM,06:37 PM,18,24,24,22,15,89,79,0.0,1014,24,10,191,11,Peru
2020-02-16,25,21,0.0,10.2,5,38,12:07 AM,01:06 PM,06:08 AM,06:36 PM,19,25,25,23,15,65,77,0.0,1013,25,10,183,13,Peru
2020-02-17,25,20,0.0,11.6,6,30,12:57 AM,02:02 PM,06:08 AM,06:36 PM,19,25,25,23,16,40,77,0.0,1011,25,10,185,13,Peru
2020-02-18,26,22,0.0,8.9,5,22,01:49 AM,02:57 PM,06:08 AM,06:35 PM,19,26,26,24,17,50,76,0.2,1012,26,10,181,14,Peru
2020-02-19,25,22,0.0,8.9,5,15,02:41 AM,03:51 PM,06:09 AM,06:35 PM,20,26,26,24,16,65,79,0.2,1013,25,10,184,13,Peru
2020-02-20,26,22,0.0,10.2,6,7,03:35 AM,04:41 PM,06:09 AM,06:35 PM,19,26,26,24,16,42,76,0.1,1014,26,10,181,13,Peru
2020-02-21,26,22,0.0,11.6,5,0,04:27 AM,05:28 PM,06:09 AM,06:34 PM,20,26,26,24,14,51,78,0.0,1015,26,10,183,12,Peru
2020-02-22,27,23,0.0,7.5,6,0,05:19 AM,06:12 PM,06:09 AM,06:34 PM,19,26,26,24,13,61,71,0.3,1016,27,10,185,11,Peru
2020-02-23,27,22,0.0,8.9,6,0,06:08 AM,06:53 PM,06:09 AM,06:33 PM,18,26,26,24,15,66,69,0.3,1016,27,10,187,12,Peru
2020-02-24,26,23,0.0,11.6,7,0,06:55 AM,07:32 PM,06:10 AM,06:33 PM,19,26,26,24,15,29,70,0.0,1015,26,10,188,12,Peru
2020-02-25,27,23,0.0,11.6,7,8,07:41 AM,08:08 PM,06:10 AM,06:32 PM,19,26,26,25,16,24,71,0.0,1015,27,10,189,12,Peru
2020-02-26,26,23,0.0,11.6,6,15,08:26 AM,08:45 PM,06:10 AM,06:32 PM,19,26,26,24,15,18,73,0.0,1015,26,10,189,12,Peru
2020-02-27,25,22,0.0,11.6,6,23,09:11 AM,09:22 PM,06:10 AM,06:31 PM,19,25,25,23,16,20,75,0.0,1015,25,10,188,12,Peru
2020-02-28,25,21,0.0,11.6,6,30,09:57 AM,09:59 PM,06:10 AM,06:31 PM,18,25,25,23,18,20,75,0.0,1015,25,10,179,14,Peru
2020-02-29,25,22,0.0,11.6,5,38,10:43 AM,10:39 PM,06:10 AM,06:30 PM,19,26,26,23,16,58,77,0.2,1016,25,10,183,13,Peru
2020-03-01,26,22,0.0,11.6,6,44,11:32 AM,11:22 PM,06:11 AM,06:30 PM,19,26,26,24,18,49,74,0.2,1016,26,10,176,14,Peru
2020-03-02,26,18,0.0,8.8,5,51,12:23 PM,No moonset,06:11 AM,06:29 PM,19,25,25,23,17,49,76,0.0,1015,26,10,183,13,Peru
2020-03-03,26,22,0.0,11.6,5,58,01:17 PM,12:09 AM,06:11 AM,06:29 PM,19,26,26,23,19,50,75,0.0,1014,26,10,175,15,Peru
2020-03-04,26,22,0.0,11.6,6,65,02:13 PM,01:01 AM,06:11 AM,06:28 PM,19,26,26,23,17,32,76,0.0,1014,26,10,187,13,Peru
2020-03-05,25,22,0.0,10.2,5,73,03:11 PM,01:57 AM,06:11 AM,06:27 PM,19,25,25,23,17,46,77,0.2,1015,25,10,184,13,Peru
2020-03-06,25,22,0.0,11.6,5,80,04:08 PM,02:56 AM,06:11 AM,06:27 PM,19,26,26,23,16,46,77,0.0,1015,25,10,186,12,Peru
2020-03-07,25,21,0.0,10.2,5,87,05:03 PM,03:58 AM,06:11 AM,06:26 PM,19,25,25,23,15,44,78,0.1,1014,25,10,184,12,Peru
2020-03-08,26,21,0.0,11.6,5,95,05:56 PM,05:00 AM,06:11 AM,06:26 PM,19,26,26,24,15,56,75,0.0,1014,26,10,183,12,Peru
2020-03-09,26,21,0.0,11.6,6,100,06:46 PM,06:02 AM,06:11 AM,06:25 PM,18,25,25,23,16,34,72,0.0,1015,26,10,182,12,Peru
2020-03-10,25,22,0.0,11.6,6,100,07:35 PM,07:02 AM,06:12 AM,06:24 PM,19,26,26,23,14,27,76,0.0,1015,25,10,192,11,Peru
2020-03-11,26,20,0.0,10.2,5,84,08:23 PM,08:02 AM,06:12 AM,06:24 PM,19,25,25,23,14,51,75,0.0,1015,26,10,193,11,Peru
2020-03-12,26,20,0.0,11.6,6,76,09:11 PM,09:00 AM,06:12 AM,06:23 PM,19,26,26,24,14,25,74,0.0,1014,26,10,200,11,Peru
2020-03-13,26,22,0.0,11.6,6,69,10:01 PM,09:59 AM,06:12 AM,06:23 PM,19,26,26,24,14,27,74,0.0,1015,26,10,194,11,Peru
2020-03-14,26,22,0.0,11.6,6,62,10:51 PM,10:58 AM,06:12 AM,06:22 PM,19,26,26,24,14,35,77,0.0,1016,26,10,198,11,Peru
