date_time,Slovenia_maxtempC,Slovenia_mintempC,Slovenia_totalSnow_cm,Slovenia_sunHour,Slovenia_uvIndex,Slovenia_moon_illumination,Slovenia_moonrise,Slovenia_moonset,Slovenia_sunrise,Slovenia_sunset,Slovenia_DewPointC,Slovenia_FeelsLikeC,Slovenia_HeatIndexC,Slovenia_WindChillC,Slovenia_WindGustKmph,Slovenia_cloudcover,Slovenia_humidity,Slovenia_precipMM,Slovenia_pressure,Slovenia_tempC,Slovenia_visibility,Slovenia_winddirDegree,Slovenia_windspeedKmph,Slovenia_location
2020-02-13,5,-1,0.0,5.4,1,60,10:48 PM,09:39 AM,07:09 AM,05:24 PM,0,2,2,2,5,60,86,0.2,1019,5,10,196,3,Slovenia
2020-02-14,9,4,0.0,8.7,2,53,No moonrise,10:05 AM,07:07 AM,05:26 PM,3,6,6,6,6,43,81,15.0,1017,9,8,216,3,Slovenia
2020-02-15,8,2,0.0,8.7,2,45,12:04 AM,10:34 AM,07:06 AM,05:27 PM,2,5,5,5,2,19,83,0.0,1028,8,10,135,1,Slovenia
2020-02-16,9,1,0.0,8.7,2,38,01:18 AM,11:06 AM,07:04 AM,05:29 PM,1,4,4,4,8,25,82,0.0,1028,9,8,246,4,Slovenia
2020-02-17,9,2,0.0,5.5,2,30,02:29 AM,11:44 AM,07:03 AM,05:30 PM,3,3,6,3,16,57,85,0.0,1024,9,9,256,9,Slovenia
2020-02-18,7,3,0.0,3.9,2,22,03:35 AM,12:27 PM,07:01 AM,05:32 PM,5,5,6,5,5,91,94,13.8,1025,7,6,132,4,Slovenia
2020-02-19,6,-0,0.0,7.1,1,15,04:34 AM,01:19 PM,06:59 AM,05:33 PM,1,3,3,3,5,43,86,0.1,1022,6,8,108,3,Slovenia
2020-02-20,7,1,0.0,8.7,2,7,05:25 AM,02:15 PM,06:58 AM,05:35 PM,-0,3,3,3,4,17,79,0.0,1024,7,10,201,3,Slovenia
2020-02-21,8,1,0.0,8.7,3,0,06:07 AM,03:17 PM,06:56 AM,05:36 PM,-0,3,4,3,8,17,75,0.0,1026,8,10,194,5,Slovenia
2020-02-22,8,1,0.0,7.2,2,0,06:42 AM,04:20 PM,06:54 AM,05:38 PM,-2,3,4,3,7,24,68,0.0,1031,8,10,176,4,Slovenia
2020-02-23,8,2,0.0,8.7,3,0,07:12 AM,05:24 PM,06:53 AM,05:39 PM,1,3,5,3,15,25,80,0.0,1025,8,10,256,8,Slovenia
2020-02-24,8,3,0.0,5.6,2,0,07:37 AM,06:26 PM,06:51 AM,05:40 PM,3,4,5,4,10,57,88,0.0,1021,8,8,191,6,Slovenia
2020-02-25,7,2,0.0,4.1,2,8,07:59 AM,07:29 PM,06:49 AM,05:42 PM,4,5,5,5,10,89,92,2.0,1010,7,8,253,5,Slovenia
2020-02-26,8,-2,18.0,4.1,1,15,08:20 AM,08:30 PM,06:47 AM,05:43 PM,2,1,3,1,14,94,94,37.7,1000,8,6,130,8,Slovenia
2020-02-27,4,-4,0.3,8.7,2,23,08:40 AM,09:32 PM,06:46 AM,05:45 PM,-3,-1,1,-1,9,36,83,0.3,1011,4,9,236,5,Slovenia
2020-02-28,6,-3,0.0,7.2,1,30,09:01 AM,10:34 PM,06:44 AM,05:46 PM,1,0,3,0,16,49,87,0.4,1011,6,9,266,9,Slovenia
2020-02-29,8,-1,0.0,4.1,2,38,09:24 AM,11:37 PM,06:42 AM,05:48 PM,-2,2,4,2,17,62,65,0.7,1016,8,10,232,11,Slovenia
2020-03-01,8,4,0.0,4.2,2,44,09:49 AM,No moonset,06:40 AM,05:49 PM,5,5,6,5,12,100,92,29.7,1006,8,6,193,7,Slovenia
2020-03-02,9,3,0.0,4.2,2,51,10:19 AM,12:41 AM,06:38 AM,05:50 PM,5,5,7,5,19,86,87,21.2,1000,9,8,203,11,Slovenia
2020-03-03,8,-1,0.0,4.2,2,58,10:56 AM,01:46 AM,06:36 AM,05:52 PM,4,5,6,5,8,85,92,30.9,1000,8,6,175,5,Slovenia
2020-03-04,8,3,0.0,8.7,2,65,11:42 AM,02:49 AM,06:35 AM,05:53 PM,1,5,5,5,6,60,78,6.8,1012,8,9,95,4,Slovenia
2020-03-05,9,2,0.0,8.7,3,73,12:37 PM,03:49 AM,06:33 AM,05:55 PM,-0,4,5,4,8,36,71,0.0,1010,9,10,204,6,Slovenia
2020-03-06,5,3,0.0,4.2,1,80,01:45 PM,04:42 AM,06:31 AM,05:56 PM,3,4,4,4,5,100,95,23.0,998,5,7,172,3,Slovenia
2020-03-07,8,2,0.0,4.2,2,87,03:00 PM,05:28 AM,06:29 AM,05:57 PM,2,4,5,4,6,75,84,2.1,1011,8,8,88,4,Slovenia
2020-03-08,10,1,0.0,8.7,3,95,04:19 PM,06:07 AM,06:27 AM,05:59 PM,1,5,5,5,3,4,75,0.0,1020,10,10,191,2,Slovenia
2020-03-09,8,2,0.0,5.9,2,100,05:42 PM,06:40 AM,06:25 AM,06:00 PM,1,5,5,5,3,78,79,0.1,1016,8,10,139,3,Slovenia
2020-03-10,12,2,0.0,10.2,2,100,07:03 PM,07:10 AM,06:23 AM,06:01 PM,2,6,7,6,4,39,75,0.0,1018,12,10,230,3,Slovenia
2020-03-11,14,5,0.0,11.6,4,84,08:24 PM,07:37 AM,06:22 AM,06:03 PM,3,9,10,9,9,34,72,0.0,1021,14,10,254,5,Slovenia
2020-03-12,14,5,0.0,11.6,4,76,09:44 PM,08:04 AM,06:20 AM,06:04 PM,5,8,9,8,11,12,78,0.0,1020,14,10,251,8,Slovenia
2020-03-13,9,4,0.0,5.9,2,69,11:02 PM,08:33 AM,06:18 AM,06:05 PM,6,6,7,6,8,86,93,4.9,1016,9,5,180,5,Slovenia
2020-03-14,6,-1,0.0,6.0,1,62,No moonrise,09:05 AM,06:16 AM,06:07 PM,2,2,4,2,16,87,87,8.2,1021,6,8,69,11,Slovenia
2020-03-15,7,1,0.0,11.6,2,55,12:17 AM,09:42 AM,06:14 AM,06:08 PM,-1,1,3,1,11,17,75,0.3,1024,7,10,84,8,Slovenia
2020-03-16,13,-2,0.0,11.6,3,47,01:28 AM,10:24 AM,06:12 AM,06:09 PM,-4,5,6,5,4,3,56,0.0,1026,13,10,192,2,Slovenia
2020-03-17,12,2,0.0,7.4,2,40,02:30 AM,11:14 AM,06:10 AM,06:11 PM,0,7,7,7,6,46,65,0.0,1029,12,10,218,3,Slovenia
2020-03-18,15,6,0.0,11.6,4,33,03:25 AM,12:09 PM,06:08 AM,06:12 PM,5,10,11,10,5,17,73,0.0,1028,15,10,126,4,Slovenia
2020-03-19,17,7,0.0,11.6,4,25,04:09 AM,01:10 PM,06:06 AM,06:13 PM,6,11,12,11,4,10,75,0.0,1025,17,10,149,2,Slovenia
2020-03-20,17,8,0.0,10.2,4,18,04:46 AM,02:12 PM,06:04 AM,06:15 PM,7,12,12,12,9,17,76,0.0,1021,17,10,247,6,Slovenia
2020-03-21,13,6,0.0,11.6,3,11,05:16 AM,03:16 PM,06:02 AM,06:16 PM,5,9,10,9,14,40,78,0.6,1016,13,9,222,9,Slovenia
2020-03-22,5,-0,0.5,10.2,1,4,05:42 AM,04:18 PM,06:01 AM,06:17 PM,-3,-2,2,-2,22,57,69,2.0,1022,5,8,100,16,Slovenia
2020-03-23,5,-2,0.0,11.9,1,0,06:04 AM,05:21 PM,05:59 AM,06:19 PM,-11,-3,1,-3,19,33,44,0.0,1028,5,10,77,15,Slovenia
2020-03-24,4,-2,0.0,11.9,1,0,06:25 AM,06:22 PM,05:57 AM,06:20 PM,-9,-3,1,-3,20,47,48,0.0,1027,4,10,57,15,Slovenia
2020-03-25,3,-3,0.1,7.9,1,3,06:45 AM,07:25 PM,05:55 AM,06:21 PM,-5,-5,-0,-5,23,72,68,0.5,1024,3,8,62,18,Slovenia
