date_time,Aruba_maxtempC,Aruba_mintempC,Aruba_totalSnow_cm,Aruba_sunHour,Aruba_uvIndex,Aruba_moon_illumination,Aruba_moonrise,Aruba_moonset,Aruba_sunrise,Aruba_sunset,Aruba_DewPointC,Aruba_FeelsLikeC,Aruba_HeatIndexC,Aruba_WindChillC,Aruba_WindGustKmph,Aruba_cloudcover,Aruba_humidity,Aruba_precipMM,Aruba_pressure,Aruba_tempC,Aruba_visibility,Aruba_winddirDegree,Aruba_windspeedKmph,Aruba_location
2020-02-25,26,23,0.0,10.2,6,8,08:22 AM,08:33 PM,06:58 AM,06:48 PM,23,28,28,26,39,58,83,0.5,1013,26,10,78,28,Aruba
2020-02-26,26,26,0.0,8.8,6,15,08:59 AM,09:19 PM,06:58 AM,06:49 PM,23,29,29,26,37,51,85,0.3,1013,26,10,82,26,Aruba
2020-02-27,26,26,0.0,8.8,6,23,09:36 AM,10:04 PM,06:57 AM,06:49 PM,23,29,29,26,39,53,84,2.3,1013,26,10,86,27,Aruba
2020-02-28,26,26,0.0,8.8,6,30,10:12 AM,10:50 PM,06:57 AM,06:49 PM,23,29,29,26,38,63,83,3.7,1013,26,9,87,26,Aruba
2020-02-29,26,25,0.0,7.4,6,38,10:51 AM,11:38 PM,06:56 AM,06:49 PM,22,28,28,26,37,56,77,0.4,1015,26,10,80,27,Aruba
2020-03-01,26,22,0.0,8.8,6,44,11:32 AM,No moonset,06:55 AM,06:49 PM,22,28,28,25,43,47,78,1.3,1014,26,10,82,31,Aruba
2020-03-02,26,26,0.0,10.2,6,51,12:16 PM,12:27 AM,06:55 AM,06:49 PM,22,29,29,26,47,35,77,0.2,1013,26,10,86,34,Aruba
2020-03-03,27,22,0.0,8.8,6,58,01:06 PM,01:20 AM,06:54 AM,06:50 PM,22,28,28,26,51,51,77,0.5,1013,27,10,90,37,Aruba
2020-03-04,27,23,0.0,8.8,6,65,01:59 PM,02:15 AM,06:54 AM,06:50 PM,22,29,29,26,53,56,78,0.7,1014,27,10,86,38,Aruba
2020-03-05,27,26,0.0,8.8,6,73,02:57 PM,03:13 AM,06:53 AM,06:50 PM,23,30,30,27,59,56,78,1.1,1013,27,10,92,42,Aruba
2020-03-06,27,23,0.0,8.8,6,80,03:58 PM,04:10 AM,06:53 AM,06:50 PM,22,28,28,26,57,62,78,0.8,1013,27,10,91,41,Aruba
2020-03-07,26,26,0.0,11.6,7,87,05:01 PM,05:06 AM,06:52 AM,06:50 PM,22,28,28,26,48,28,77,0.0,1012,26,10,86,35,Aruba
2020-03-08,27,25,0.0,7.4,6,95,06:03 PM,06:00 AM,06:51 AM,06:50 PM,22,28,28,26,44,56,79,0.3,1013,27,10,80,31,Aruba
2020-03-09,27,26,0.0,8.8,6,100,07:04 PM,06:51 AM,06:51 AM,06:50 PM,22,29,29,26,51,60,77,0.8,1014,27,10,83,37,Aruba
2020-03-10,27,25,0.0,7.4,6,100,08:04 PM,07:41 AM,06:50 AM,06:50 PM,22,29,29,26,49,68,78,0.8,1014,27,10,83,36,Aruba
2020-03-11,26,26,0.0,11.6,6,84,09:03 PM,08:28 AM,06:50 AM,06:50 PM,23,29,29,26,43,47,80,2.4,1012,26,10,88,31,Aruba
2020-03-12,26,26,0.0,11.6,6,76,10:02 PM,09:17 AM,06:49 AM,06:50 PM,22,28,28,26,43,39,79,0.3,1010,26,10,91,31,Aruba
2020-03-13,26,26,0.0,10.2,6,69,11:01 PM,10:05 AM,06:48 AM,06:51 PM,22,28,28,26,43,49,80,0.3,1012,26,10,83,31,Aruba
2020-03-14,26,25,0.0,8.8,6,62,12:00 AM,10:55 AM,06:48 AM,06:51 PM,23,28,28,26,40,64,82,1.7,1014,26,10,73,28,Aruba
