date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-02-11,38,22,0.0,11.6,8,75,08:18 PM,08:11 AM,06:33 AM,06:06 PM,12,31,31,30,16,4,38,0.0,1013,38,10,168,9,Myanmar
2020-02-12,36,21,0.0,11.6,8,68,09:19 PM,08:58 AM,06:33 AM,06:06 PM,9,29,29,28,19,5,33,0.0,1013,36,10,249,11,Myanmar
2020-02-13,35,20,0.0,11.6,7,60,10:18 PM,09:42 AM,06:32 AM,06:06 PM,12,28,28,27,20,7,44,0.0,1012,35,10,271,13,Myanmar
2020-02-14,34,16,0.0,11.6,7,53,11:17 PM,10:26 AM,06:32 AM,06:07 PM,11,26,26,25,20,0,52,0.0,1011,34,10,257,13,Myanmar
2020-02-15,35,17,0.0,11.6,7,45,No moonrise,11:11 AM,06:32 AM,06:07 PM,14,27,27,26,17,1,60,0.0,1012,35,10,270,12,Myanmar
2020-02-16,35,19,0.0,11.6,7,38,12:14 AM,11:58 AM,06:31 AM,06:08 PM,17,27,27,26,12,1,65,0.0,1012,35,10,194,9,Myanmar
2020-02-17,36,21,0.0,11.6,7,30,01:13 AM,12:46 PM,06:31 AM,06:08 PM,15,29,29,28,16,0,55,0.0,1012,36,10,156,10,Myanmar
2020-02-18,35,20,0.0,11.6,8,22,02:10 AM,01:37 PM,06:30 AM,06:08 PM,14,29,29,28,15,3,52,0.0,1013,35,10,201,9,Myanmar
2020-02-19,35,20,0.0,11.6,8,15,03:06 AM,02:29 PM,06:30 AM,06:09 PM,15,30,30,28,13,7,51,0.0,1013,35,10,189,8,Myanmar
2020-02-20,37,23,0.0,11.6,8,7,03:59 AM,03:23 PM,06:29 AM,06:09 PM,14,31,31,30,17,2,45,0.0,1013,37,10,238,10,Myanmar
2020-02-21,36,22,0.0,11.6,8,0,04:49 AM,04:16 PM,06:28 AM,06:09 PM,10,29,29,29,17,5,33,0.0,1014,36,10,144,11,Myanmar
