date_time,United%20Kingdom_maxtempC,United%20Kingdom_mintempC,United%20Kingdom_totalSnow_cm,United%20Kingdom_sunHour,United%20Kingdom_uvIndex,United%20Kingdom_moon_illumination,United%20Kingdom_moonrise,United%20Kingdom_moonset,United%20Kingdom_sunrise,United%20Kingdom_sunset,United%20Kingdom_DewPointC,United%20Kingdom_FeelsLikeC,United%20Kingdom_HeatIndexC,United%20Kingdom_WindChillC,United%20Kingdom_WindGustKmph,United%20Kingdom_cloudcover,United%20Kingdom_humidity,United%20Kingdom_precipMM,United%20Kingdom_pressure,United%20Kingdom_tempC,United%20Kingdom_visibility,United%20Kingdom_winddirDegree,United%20Kingdom_windspeedKmph,United%20Kingdom_location
2020-04-07,25,15,0.0,10.7,5,100,06:20 PM,05:47 AM,05:43 AM,06:38 PM,17,20,20,20,25,40,84,0.1,1007,25,10,216,16,United%20Kingdom
2020-04-08,27,13,0.0,13.0,6,100,07:36 PM,06:20 AM,05:41 AM,06:39 PM,13,20,21,20,22,23,73,1.0,1007,27,9,207,13,United%20Kingdom
2020-04-09,12,5,0.0,13.0,3,83,08:51 PM,06:54 AM,05:40 AM,06:40 PM,1,6,9,6,26,7,61,0.4,1015,12,10,313,17,United%20Kingdom
2020-04-10,12,-1,0.0,13.0,3,76,10:05 PM,07:32 AM,05:38 AM,06:41 PM,-3,4,6,4,15,12,54,0.0,1020,12,10,282,9,United%20Kingdom
2020-04-11,15,7,0.0,8.2,3,68,11:15 PM,08:13 AM,05:37 AM,06:42 PM,5,8,10,8,26,94,71,9.4,1010,15,9,183,17,United%20Kingdom
2020-04-12,20,13,0.0,8.2,4,61,No moonrise,09:00 AM,05:35 AM,06:43 PM,13,15,16,15,30,85,86,27.7,999,20,8,203,18,United%20Kingdom
2020-04-13,7,-0,3.7,13.1,1,53,12:19 AM,09:53 AM,05:34 AM,06:44 PM,-3,-1,4,-1,33,36,63,18.1,1015,7,8,307,25,United%20Kingdom
2020-04-14,9,-0,0.0,9.5,2,46,01:15 AM,10:49 AM,05:32 AM,06:45 PM,-5,2,4,2,13,77,54,0.1,1024,9,10,277,9,United%20Kingdom
2020-04-15,9,1,0.0,10.7,2,38,02:03 AM,11:48 AM,05:31 AM,06:45 PM,-0,2,5,2,19,66,70,0.5,1020,9,10,255,12,United%20Kingdom
2020-04-16,9,1,0.0,8.2,2,30,02:43 AM,12:48 PM,05:29 AM,06:46 PM,3,2,5,2,20,77,85,6.7,1021,9,7,97,13,United%20Kingdom
2020-04-17,7,3,0.0,8.2,2,23,03:18 AM,01:48 PM,05:28 AM,06:47 PM,3,3,6,3,18,84,86,12.9,1018,7,8,173,13,United%20Kingdom
2020-04-18,15,-1,0.0,13.2,3,15,03:48 AM,02:46 PM,05:26 AM,06:48 PM,1,5,7,5,16,8,69,0.0,1017,15,10,221,11,United%20Kingdom
