date_time,Greenland_maxtempC,Greenland_mintempC,Greenland_totalSnow_cm,Greenland_sunHour,Greenland_uvIndex,Greenland_moon_illumination,Greenland_moonrise,Greenland_moonset,Greenland_sunrise,Greenland_sunset,Greenland_DewPointC,Greenland_FeelsLikeC,Greenland_HeatIndexC,Greenland_WindChillC,Greenland_WindGustKmph,Greenland_cloudcover,Greenland_humidity,Greenland_precipMM,Greenland_pressure,Greenland_tempC,Greenland_visibility,Greenland_winddirDegree,Greenland_windspeedKmph,Greenland_location
2020-02-12,-11,-14,0.9,3.1,1,68,10:17 PM,09:48 AM,08:34 AM,04:49 PM,-17,-18,-12,-18,15,88,66,1.1,998,-11,8,90,12,Greenland
2020-02-13,-13,-17,0.0,8.2,2,60,No moonrise,09:50 AM,08:31 AM,04:53 PM,-19,-21,-13,-21,28,31,57,0.0,994,-13,10,65,22,Greenland
2020-02-14,-7,-13,0.0,5.0,1,53,12:01 AM,09:52 AM,08:27 AM,04:56 PM,-17,-16,-10,-16,22,55,55,0.0,972,-7,10,63,15,Greenland
2020-02-15,-8,-10,0.1,3.1,1,45,01:45 AM,09:56 AM,08:24 AM,04:59 PM,-12,-16,-9,-16,31,66,78,0.5,971,-8,8,269,22,Greenland
2020-02-16,-10,-16,1.2,3.3,1,38,03:28 AM,10:01 AM,08:21 AM,05:03 PM,-13,-15,-10,-15,16,100,80,2.3,991,-10,6,227,12,Greenland
2020-02-17,-10,-13,0.0,8.7,1,30,05:07 AM,10:12 AM,08:17 AM,05:06 PM,-16,-17,-11,-17,16,62,64,0.0,997,-10,10,71,12,Greenland
2020-02-18,-11,-17,0.0,3.4,1,22,06:36 AM,10:35 AM,08:14 AM,05:09 PM,-16,-18,-11,-18,21,83,65,0.1,1000,-11,10,18,17,Greenland
2020-02-19,-11,-14,2.1,3.4,1,15,07:43 AM,11:21 AM,08:11 AM,05:12 PM,-14,-19,-12,-19,19,90,82,2.6,1004,-11,5,175,15,Greenland
2020-02-20,-14,-22,0.0,8.7,2,7,08:19 AM,12:32 PM,08:07 AM,05:16 PM,-18,-24,-15,-24,27,32,76,0.0,986,-14,10,22,22,Greenland
2020-02-21,-11,-16,0.1,5.2,1,0,08:37 AM,01:59 PM,08:04 AM,05:19 PM,-17,-19,-12,-19,19,69,67,0.1,983,-11,10,80,14,Greenland
2020-02-22,-11,-12,5.0,3.5,1,0,08:46 AM,03:29 PM,08:00 AM,05:22 PM,-13,-17,-11,-17,13,100,84,5.9,994,-11,3,196,11,Greenland
2020-02-23,-9,-11,0.3,3.6,1,0,08:50 AM,04:58 PM,07:57 AM,05:25 PM,-14,-17,-10,-17,21,100,73,0.3,991,-9,10,33,17,Greenland
2020-02-24,-10,-12,2.6,3.7,1,0,08:53 AM,06:24 PM,07:54 AM,05:28 PM,-14,-18,-11,-18,18,98,81,3.1,1003,-10,5,211,14,Greenland
2020-02-25,-11,-13,2.6,3.7,1,8,08:54 AM,07:48 PM,07:50 AM,05:32 PM,-15,-17,-12,-17,14,95,79,3.1,1016,-11,6,74,10,Greenland
2020-02-26,-15,-17,0.0,8.7,2,15,08:55 AM,09:11 PM,07:47 AM,05:35 PM,-20,-24,-15,-24,23,25,68,0.0,1011,-15,10,30,18,Greenland
2020-02-27,-18,-18,0.0,8.7,2,23,08:55 AM,10:34 PM,07:44 AM,05:38 PM,-22,-28,-18,-28,28,2,72,0.0,1016,-18,10,24,22,Greenland
2020-02-28,-14,-18,0.0,8.7,2,30,08:56 AM,11:59 PM,07:40 AM,05:41 PM,-21,-25,-16,-25,24,6,65,0.0,1013,-14,10,31,18,Greenland
2020-02-29,-18,-20,0.0,8.7,2,38,08:58 AM,No moonset,07:37 AM,05:44 PM,-22,-27,-18,-27,27,19,73,0.0,1007,-18,10,20,18,Greenland
2020-03-01,-19,-21,0.0,8.7,2,44,09:01 AM,01:26 AM,07:33 AM,05:47 PM,-25,-30,-20,-30,29,16,66,0.0,1005,-19,10,23,18,Greenland
2020-03-02,-20,-23,0.0,8.7,2,51,09:08 AM,02:56 AM,07:30 AM,05:50 PM,-25,-33,-22,-33,31,4,74,0.0,1004,-20,10,20,22,Greenland
2020-03-03,-18,-22,0.0,8.7,2,58,09:21 AM,04:27 AM,07:26 AM,05:53 PM,-24,-30,-20,-30,26,0,71,0.0,1004,-18,10,35,17,Greenland
2020-03-04,-14,-21,0.0,8.7,2,65,09:48 AM,05:52 AM,07:23 AM,05:56 PM,-22,-26,-16,-26,35,3,63,0.0,1004,-14,10,16,19,Greenland
2020-03-05,-8,-14,0.0,7.1,1,73,10:45 AM,06:54 AM,07:19 AM,05:59 PM,-17,-15,-10,-15,23,47,52,0.0,1002,-8,10,42,12,Greenland
2020-03-06,-5,-11,0.0,7.0,1,80,12:14 PM,07:28 AM,07:16 AM,06:02 PM,-12,-12,-7,-12,21,87,63,0.0,996,-5,10,174,12,Greenland
2020-03-07,-10,-13,1.6,5.5,1,87,02:02 PM,07:44 AM,07:12 AM,06:05 PM,-12,-18,-10,-18,26,99,89,2.0,1002,-10,5,306,20,Greenland
2020-03-08,-11,-18,0.0,8.5,1,95,03:55 PM,07:51 AM,07:09 AM,06:08 PM,-17,-19,-14,-19,18,43,74,0.0,1002,-11,10,71,11,Greenland
2020-03-09,-6,-12,0.0,5.5,1,100,05:47 PM,07:55 AM,07:05 AM,06:11 PM,-13,-13,-8,-13,27,98,62,0.0,991,-6,10,69,13,Greenland
2020-03-10,-7,-10,0.0,7.1,1,100,07:38 PM,07:58 AM,07:01 AM,06:14 PM,-12,-14,-8,-14,24,57,69,0.0,993,-7,10,104,14,Greenland
2020-03-11,-10,-11,0.3,8.7,1,84,09:27 PM,08:00 AM,06:58 AM,06:17 PM,-14,-15,-10,-15,15,47,76,0.3,1003,-10,9,164,10,Greenland
2020-03-12,-9,-12,1.2,5.8,1,76,11:15 PM,08:01 AM,06:54 AM,06:20 PM,-11,-16,-10,-16,16,88,89,1.4,1014,-9,6,317,12,Greenland
2020-03-13,-12,-17,0.2,10.2,1,69,No moonrise,08:04 AM,06:51 AM,06:23 PM,-16,-19,-14,-19,14,53,83,0.2,1018,-12,9,36,9,Greenland
2020-03-14,-12,-14,2.9,5.9,1,62,01:04 AM,08:08 AM,06:47 AM,06:26 PM,-15,-18,-12,-18,14,100,84,3.4,1020,-12,3,219,10,Greenland
2020-03-15,-19,-23,0.0,11.6,1,55,02:49 AM,08:16 AM,06:44 AM,06:29 PM,-24,-31,-20,-31,35,30,74,0.0,1002,-19,10,21,22,Greenland
2020-03-16,-20,-24,0.0,11.6,2,47,04:27 AM,08:34 AM,06:40 AM,06:32 PM,-26,-32,-22,-32,31,11,67,0.0,1005,-20,10,47,18,Greenland
2020-03-17,-11,-21,0.0,6.0,1,40,05:44 AM,09:11 AM,06:36 AM,06:35 PM,-20,-22,-15,-22,27,83,62,0.0,1013,-11,10,106,16,Greenland
2020-03-18,-2,-8,0.0,6.0,1,33,06:28 AM,10:17 AM,06:33 AM,06:38 PM,-9,-12,-5,-12,37,96,71,0.2,1010,-2,8,125,24,Greenland
