date_time,Oman_maxtempC,Oman_mintempC,Oman_totalSnow_cm,Oman_sunHour,Oman_uvIndex,Oman_moon_illumination,Oman_moonrise,Oman_moonset,Oman_sunrise,Oman_sunset,Oman_DewPointC,Oman_FeelsLikeC,Oman_HeatIndexC,Oman_WindChillC,Oman_WindGustKmph,Oman_cloudcover,Oman_humidity,Oman_precipMM,Oman_pressure,Oman_tempC,Oman_visibility,Oman_winddirDegree,Oman_windspeedKmph,Oman_location
2020-03-08,25,21,0.0,11.6,6,95,04:52 PM,05:22 AM,06:21 AM,06:12 PM,11,24,24,23,18,0,48,0.0,1014,25,10,125,12,Oman
2020-03-09,26,22,0.0,11.6,6,100,05:59 PM,06:10 AM,06:20 AM,06:12 PM,14,25,25,24,19,6,52,0.0,1011,26,10,215,13,Oman
2020-03-10,22,17,0.0,10.2,5,100,07:05 PM,06:54 AM,06:19 AM,06:13 PM,12,21,23,21,18,44,53,0.6,1014,22,10,285,14,Oman
2020-03-11,24,19,0.0,11.6,6,84,08:10 PM,07:37 AM,06:18 AM,06:13 PM,4,22,22,21,14,0,32,0.0,1016,24,10,82,10,Oman
2020-03-12,24,19,0.0,11.6,6,76,09:15 PM,08:19 AM,06:17 AM,06:13 PM,6,22,22,22,13,7,36,0.0,1016,24,10,302,8,Oman
2020-03-13,26,21,0.0,7.4,5,69,10:18 PM,09:02 AM,06:16 AM,06:14 PM,9,24,24,23,14,63,41,0.0,1017,26,10,181,9,Oman
2020-03-14,26,21,0.0,6.0,5,62,11:22 PM,09:47 AM,06:15 AM,06:14 PM,10,25,25,24,22,77,42,0.0,1016,26,10,118,15,Oman
2020-03-15,27,23,0.0,11.6,7,55,No moonrise,10:34 AM,06:14 AM,06:15 PM,12,26,26,25,24,36,47,0.0,1014,27,10,123,16,Oman
2020-03-16,25,22,0.0,11.6,6,47,12:23 AM,11:25 AM,06:13 AM,06:15 PM,15,25,25,23,21,2,61,0.0,1015,25,10,113,16,Oman
2020-03-17,25,22,0.0,11.6,6,40,01:22 AM,12:17 PM,06:12 AM,06:15 PM,16,25,25,24,15,6,64,0.0,1016,25,10,109,12,Oman
2020-03-18,26,22,0.0,11.6,6,33,02:16 AM,01:11 PM,06:11 AM,06:16 PM,15,26,26,24,17,5,58,0.0,1015,26,10,134,12,Oman
2020-03-19,27,24,0.0,11.6,7,25,03:06 AM,02:05 PM,06:10 AM,06:16 PM,15,26,26,25,13,18,54,0.0,1013,27,10,190,8,Oman
2020-03-20,28,23,0.0,10.2,7,18,03:51 AM,02:59 PM,06:09 AM,06:17 PM,16,27,27,26,17,28,52,0.6,1011,28,10,164,10,Oman
2020-03-21,27,23,0.0,8.8,6,11,04:31 AM,03:52 PM,06:08 AM,06:17 PM,18,27,27,26,22,35,60,3.2,1010,27,10,181,14,Oman
2020-03-22,29,24,0.0,11.6,7,4,05:09 AM,04:44 PM,06:07 AM,06:17 PM,19,28,28,26,22,48,64,1.1,1009,29,10,165,14,Oman
2020-03-23,25,24,0.0,7.4,5,0,05:43 AM,05:34 PM,06:06 AM,06:18 PM,16,26,26,24,22,48,61,2.0,1010,25,10,300,17,Oman
2020-03-24,23,22,0.0,11.6,6,0,06:16 AM,06:24 PM,06:05 AM,06:18 PM,12,25,25,22,18,3,51,0.0,1011,23,10,298,15,Oman
2020-03-25,23,20,0.0,11.6,6,3,06:48 AM,07:13 PM,06:04 AM,06:19 PM,14,22,23,22,14,9,62,0.0,1012,23,10,197,12,Oman
2020-03-26,24,21,0.0,10.2,5,11,07:20 AM,08:03 PM,06:04 AM,06:19 PM,15,25,25,23,12,21,63,0.1,1012,24,10,150,10,Oman
2020-03-27,25,23,0.0,11.6,6,18,07:53 AM,08:54 PM,06:03 AM,06:19 PM,17,25,25,24,11,3,67,0.0,1015,25,10,111,9,Oman
2020-03-28,27,23,0.0,11.6,7,25,08:28 AM,09:46 PM,06:02 AM,06:20 PM,18,27,27,25,18,5,65,0.0,1015,27,10,113,14,Oman
2020-03-29,27,25,0.0,11.6,7,32,09:06 AM,10:39 PM,06:01 AM,06:20 PM,18,27,27,26,13,8,62,0.0,1011,27,10,138,9,Oman
