date_time,Dominican%20Republic_maxtempC,Dominican%20Republic_mintempC,Dominican%20Republic_totalSnow_cm,Dominican%20Republic_sunHour,Dominican%20Republic_uvIndex,Dominican%20Republic_moon_illumination,Dominican%20Republic_moonrise,Dominican%20Republic_moonset,Dominican%20Republic_sunrise,Dominican%20Republic_sunset,Dominican%20Republic_DewPointC,Dominican%20Republic_FeelsLikeC,Dominican%20Republic_HeatIndexC,Dominican%20Republic_WindChillC,Dominican%20Republic_WindGustKmph,Dominican%20Republic_cloudcover,Dominican%20Republic_humidity,Dominican%20Republic_precipMM,Dominican%20Republic_pressure,Dominican%20Republic_tempC,Dominican%20Republic_visibility,Dominican%20Republic_winddirDegree,Dominican%20Republic_windspeedKmph,Dominican%20Republic_location
2020-04-25,29,23,0.0,10.3,6,15,08:02 AM,09:20 PM,06:15 AM,07:00 PM,21,29,29,26,12,53,76,2.5,1016,29,10,74,9,Dominican%20Republic
2020-04-26,30,24,0.0,9.0,6,22,08:46 AM,10:14 PM,06:15 AM,07:00 PM,21,29,29,26,13,47,74,0.7,1017,30,10,75,10,Dominican%20Republic
2020-04-27,30,23,0.0,11.6,7,30,09:34 AM,11:09 PM,06:14 AM,07:00 PM,21,29,29,27,12,12,70,0.0,1017,30,10,113,9,Dominican%20Republic
2020-04-28,30,23,0.0,11.6,7,37,10:26 AM,No moonset,06:14 AM,07:01 PM,21,28,28,26,11,18,72,0.0,1016,30,10,114,8,Dominican%20Republic
2020-04-29,31,23,0.0,11.6,7,45,11:23 AM,12:03 AM,06:13 AM,07:01 PM,20,28,28,26,14,19,71,1.4,1016,31,10,67,11,Dominican%20Republic
2020-04-30,30,23,0.0,10.3,6,52,12:21 PM,12:56 AM,06:12 AM,07:01 PM,21,29,29,27,12,28,74,0.6,1015,30,10,112,10,Dominican%20Republic
2020-05-01,29,24,0.0,9.0,6,58,01:22 PM,01:47 AM,06:12 AM,07:01 PM,21,29,29,26,9,50,76,0.8,1016,29,10,87,8,Dominican%20Republic
2020-05-02,30,24,0.0,11.6,7,65,02:22 PM,02:35 AM,06:11 AM,07:02 PM,22,29,29,27,10,24,75,0.1,1016,30,10,100,8,Dominican%20Republic
2020-05-03,30,24,0.0,11.6,7,72,03:23 PM,03:21 AM,06:11 AM,07:02 PM,21,29,29,27,11,25,74,0.1,1015,30,10,73,9,Dominican%20Republic
2020-05-04,30,23,0.0,11.6,7,80,04:24 PM,04:05 AM,06:10 AM,07:02 PM,22,29,29,26,11,30,77,0.1,1014,30,10,90,9,Dominican%20Republic
2020-05-05,30,24,0.0,10.3,6,87,05:26 PM,04:48 AM,06:10 AM,07:03 PM,22,29,29,26,11,39,79,1.2,1014,30,10,88,9,Dominican%20Republic
2020-05-06,30,24,0.0,10.3,6,94,06:28 PM,05:34 AM,06:09 AM,07:03 PM,22,29,29,27,12,49,76,1.1,1015,30,10,89,9,Dominican%20Republic
2020-05-07,30,25,0.0,7.8,6,100,07:32 PM,06:20 AM,06:09 AM,07:04 PM,23,30,30,27,14,63,80,1.5,1015,30,10,135,11,Dominican%20Republic
2020-05-08,30,25,0.0,10.3,6,100,08:36 PM,07:10 AM,06:08 AM,07:04 PM,22,30,30,27,12,51,77,0.6,1016,30,10,121,9,Dominican%20Republic
2020-05-09,30,25,0.0,10.3,6,84,09:40 PM,08:03 AM,06:08 AM,07:04 PM,23,30,30,27,12,45,77,0.7,1017,30,10,113,9,Dominican%20Republic
2020-05-10,29,25,0.0,10.3,6,77,10:39 PM,08:59 AM,06:08 AM,07:05 PM,22,29,29,26,14,47,75,0.5,1017,29,10,83,11,Dominican%20Republic
2020-05-11,29,23,0.0,7.8,6,70,11:35 PM,09:56 AM,06:07 AM,07:05 PM,21,28,28,26,13,64,77,1.4,1016,29,10,158,10,Dominican%20Republic
2020-05-12,30,24,0.0,11.6,7,62,No moonrise,10:53 AM,06:07 AM,07:05 PM,22,30,30,27,11,21,75,0.1,1015,30,10,76,9,Dominican%20Republic
2020-05-13,29,23,0.0,7.8,6,55,12:25 AM,11:48 AM,06:06 AM,07:06 PM,21,28,28,26,16,63,77,3.2,1015,29,10,70,11,Dominican%20Republic
2020-05-14,29,24,0.0,9.1,6,48,01:10 AM,12:41 PM,06:06 AM,07:06 PM,21,29,29,26,12,53,75,4.4,1016,29,10,85,9,Dominican%20Republic
2020-05-15,29,23,0.0,9.1,6,40,01:51 AM,01:32 PM,06:06 AM,07:06 PM,21,28,28,26,13,59,77,1.8,1016,29,10,88,9,Dominican%20Republic
2020-05-16,29,23,0.0,9.1,6,33,02:28 AM,02:21 PM,06:05 AM,07:07 PM,22,29,29,26,12,46,77,0.6,1015,29,10,122,10,Dominican%20Republic
2020-05-17,31,24,0.0,10.3,6,26,03:03 AM,03:09 PM,06:05 AM,07:07 PM,22,30,30,27,10,41,77,0.8,1016,31,10,102,8,Dominican%20Republic
2020-05-18,30,24,0.0,11.6,6,19,03:37 AM,03:56 PM,06:05 AM,07:08 PM,22,30,30,27,10,43,78,0.3,1016,30,10,81,8,Dominican%20Republic
2020-05-19,29,25,0.0,10.3,6,11,04:10 AM,04:43 PM,06:04 AM,07:08 PM,22,29,29,27,10,49,79,0.4,1016,29,10,99,8,Dominican%20Republic
2020-05-20,30,24,0.0,9.1,6,4,04:45 AM,05:32 PM,06:04 AM,07:08 PM,22,29,29,26,9,46,77,1.4,1015,30,10,91,7,Dominican%20Republic
2020-05-21,30,24,0.0,11.6,7,0,05:22 AM,06:22 PM,06:04 AM,07:09 PM,22,30,30,27,10,27,75,0.0,1015,30,10,123,8,Dominican%20Republic
2020-05-22,31,25,0.0,11.6,7,0,06:01 AM,07:15 PM,06:04 AM,07:09 PM,22,31,31,28,10,26,75,0.8,1015,31,10,72,8,Dominican%20Republic
