date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-02-23,15,9,0.0,8.7,3,0,07:11 AM,05:41 PM,06:55 AM,05:52 PM,7,12,12,12,11,36,73,0.1,1030,15,10,216,8,Italy
2020-02-24,15,12,0.0,4.1,3,0,07:39 AM,06:40 PM,06:54 AM,05:54 PM,8,13,13,13,9,63,73,0.1,1023,15,10,192,6,Italy
2020-02-25,16,12,0.0,5.7,3,8,08:03 AM,07:40 PM,06:52 AM,05:55 PM,8,12,13,12,19,52,71,0.3,1015,16,10,153,13,Italy
2020-02-26,14,9,0.0,7.2,3,15,08:27 AM,08:38 PM,06:51 AM,05:56 PM,4,10,12,10,29,66,59,2.7,1005,14,10,240,20,Italy
2020-02-27,12,5,0.0,8.7,3,23,08:50 AM,09:38 PM,06:49 AM,05:57 PM,-6,6,9,6,20,26,36,0.3,1013,12,10,260,14,Italy
2020-02-28,14,9,0.0,4.2,3,30,09:14 AM,10:36 PM,06:48 AM,05:58 PM,6,10,11,10,18,51,68,1.3,1015,14,10,169,12,Italy
2020-02-29,13,8,0.0,11.5,4,38,09:39 AM,11:37 PM,06:46 AM,06:00 PM,2,9,11,9,19,16,53,0.0,1017,13,10,132,14,Italy
2020-03-01,15,9,0.0,5.8,3,44,10:07 AM,No moonset,06:44 AM,06:01 PM,9,10,13,10,30,85,77,6.9,1009,15,9,161,21,Italy
2020-03-02,15,10,0.0,7.2,3,51,10:39 AM,12:38 AM,06:43 AM,06:02 PM,10,11,13,11,32,82,82,20.4,1005,15,9,188,22,Italy
2020-03-03,12,10,0.0,5.8,3,58,11:19 AM,01:41 AM,06:41 AM,06:03 PM,5,9,11,9,29,74,65,10.5,1002,12,10,236,20,Italy
