date_time,Mali_maxtempC,Mali_mintempC,Mali_totalSnow_cm,Mali_sunHour,Mali_uvIndex,Mali_moon_illumination,Mali_moonrise,Mali_moonset,Mali_sunrise,Mali_sunset,Mali_DewPointC,Mali_FeelsLikeC,Mali_HeatIndexC,Mali_WindChillC,Mali_WindGustKmph,Mali_cloudcover,Mali_humidity,Mali_precipMM,Mali_pressure,Mali_tempC,Mali_visibility,Mali_winddirDegree,Mali_windspeedKmph,Mali_location
2020-01-17,34,16,0.0,11.6,7,47,12:10 AM,12:26 PM,06:58 AM,06:26 PM,-7,25,25,25,23,0,12,0.0,1014,34,10,35,14,Mali
2020-01-18,34,17,0.0,11.6,7,40,01:06 AM,01:11 PM,06:58 AM,06:26 PM,-4,25,25,25,26,1,16,0.0,1014,34,10,47,16,Mali
2020-01-19,34,16,0.0,11.6,7,32,02:01 AM,01:58 PM,06:58 AM,06:27 PM,-4,25,25,25,20,4,15,0.0,1012,34,10,51,12,Mali
2020-01-20,36,18,0.0,11.6,7,25,02:57 AM,02:46 PM,06:58 AM,06:28 PM,-5,26,26,26,14,4,13,0.0,1010,36,10,130,9,Mali
2020-01-21,36,21,0.0,11.6,7,18,03:53 AM,03:38 PM,06:58 AM,06:28 PM,-2,28,28,28,8,7,14,0.0,1010,36,10,137,5,Mali
2020-01-22,37,23,0.0,11.6,8,11,04:49 AM,04:30 PM,06:58 AM,06:29 PM,1,29,29,30,14,15,16,0.0,1011,37,10,52,9,Mali
2020-01-23,38,23,0.0,11.6,8,3,05:45 AM,05:25 PM,06:58 AM,06:29 PM,4,30,30,30,16,15,19,0.0,1010,38,10,73,10,Mali
2020-01-24,39,22,0.0,11.6,8,0,06:37 AM,06:18 PM,06:58 AM,06:29 PM,-3,30,30,30,24,15,12,0.0,1011,39,10,63,15,Mali
2020-01-25,38,20,0.0,11.6,8,0,07:26 AM,07:11 PM,06:58 AM,06:30 PM,-10,28,28,29,23,3,8,0.0,1012,38,10,77,14,Mali
2020-01-26,38,20,0.0,11.6,8,4,08:11 AM,08:01 PM,06:58 AM,06:30 PM,-10,28,28,28,21,20,8,0.0,1013,38,10,61,14,Mali
2020-01-27,36,20,0.0,11.6,7,11,08:53 AM,08:49 PM,06:58 AM,06:31 PM,-10,27,27,28,25,6,8,0.0,1013,36,10,57,17,Mali
2020-01-28,37,20,0.0,11.6,8,18,09:33 AM,09:37 PM,06:58 AM,06:31 PM,-12,28,28,28,21,2,7,0.0,1012,37,10,69,13,Mali
2020-01-29,37,19,0.0,11.6,7,26,10:09 AM,10:22 PM,06:58 AM,06:32 PM,-14,27,27,28,20,0,6,0.0,1013,37,10,61,13,Mali
2020-01-30,38,19,0.0,11.6,8,33,10:46 AM,11:07 PM,06:58 AM,06:32 PM,-9,28,28,28,23,3,8,0.0,1013,38,10,49,15,Mali
2020-01-31,38,20,0.0,11.6,8,37,11:23 AM,11:52 PM,06:58 AM,06:33 PM,-6,28,28,28,23,7,11,0.0,1013,38,10,46,15,Mali
2020-02-01,38,19,0.0,11.6,8,49,12:00 PM,No moonset,06:58 AM,06:33 PM,-6,28,28,29,19,6,11,0.0,1012,38,10,59,13,Mali
2020-02-02,37,19,0.0,11.6,8,57,12:39 PM,12:39 AM,06:58 AM,06:33 PM,-7,28,28,28,22,18,10,0.0,1013,37,10,62,14,Mali
2020-02-03,36,19,0.0,11.6,7,64,01:22 PM,01:28 AM,06:58 AM,06:34 PM,-9,27,27,28,23,6,9,0.0,1014,36,10,52,15,Mali
2020-02-04,35,17,0.0,11.6,7,72,02:08 PM,02:20 AM,06:57 AM,06:34 PM,-11,26,26,26,20,0,9,0.0,1014,35,10,52,13,Mali
2020-02-05,35,17,0.0,11.6,7,79,03:00 PM,03:15 AM,06:57 AM,06:35 PM,-11,26,26,26,21,3,9,0.0,1013,35,10,52,14,Mali
2020-02-06,35,17,0.0,11.6,7,87,03:57 PM,04:12 AM,06:57 AM,06:35 PM,-9,25,25,26,21,0,10,0.0,1012,35,10,51,13,Mali
2020-02-07,35,17,0.0,11.6,7,95,04:58 PM,05:12 AM,06:57 AM,06:35 PM,-9,26,26,26,22,0,10,0.0,1013,35,10,45,14,Mali
2020-02-08,36,17,0.0,11.6,7,100,06:01 PM,06:10 AM,06:56 AM,06:36 PM,-9,26,26,26,21,0,10,0.0,1013,36,10,41,13,Mali
2020-02-09,35,17,0.0,11.6,7,100,07:03 PM,07:06 AM,06:56 AM,06:36 PM,-11,26,26,26,18,2,9,0.0,1012,35,10,51,12,Mali
2020-02-10,36,18,0.0,11.6,7,83,08:05 PM,07:59 AM,06:56 AM,06:36 PM,-7,27,27,27,18,9,10,0.0,1012,36,10,59,12,Mali
2020-02-11,35,22,0.0,11.6,8,75,09:04 PM,08:49 AM,06:56 AM,06:37 PM,5,28,28,29,30,8,23,0.0,1013,35,10,102,21,Mali
2020-02-12,37,20,0.0,11.6,8,68,10:02 PM,09:37 AM,06:55 AM,06:37 PM,-4,29,29,29,30,1,13,0.0,1013,37,10,55,20,Mali
2020-02-13,37,20,0.0,11.6,8,60,10:59 PM,10:23 AM,06:55 AM,06:37 PM,-8,28,28,29,26,5,10,0.0,1012,37,10,59,17,Mali
2020-02-14,37,19,0.0,11.6,7,53,11:56 PM,11:09 AM,06:55 AM,06:38 PM,-10,27,27,28,24,3,8,0.0,1012,37,10,55,16,Mali
2020-02-15,38,19,0.0,11.6,8,45,No moonrise,11:56 AM,06:54 AM,06:38 PM,-8,28,28,29,22,0,9,0.0,1011,38,10,50,15,Mali
2020-02-16,39,20,0.0,11.6,8,38,12:52 AM,12:44 PM,06:54 AM,06:38 PM,-8,29,29,29,22,1,9,0.0,1011,39,10,54,14,Mali
2020-02-17,39,20,0.0,11.6,8,30,01:49 AM,01:35 PM,06:54 AM,06:38 PM,-8,29,29,29,20,6,9,0.0,1011,39,10,47,13,Mali
2020-02-18,39,20,0.0,11.6,8,22,02:45 AM,02:26 PM,06:53 AM,06:39 PM,-9,29,29,30,21,0,8,0.0,1011,39,10,59,13,Mali
2020-02-19,39,20,0.0,11.6,8,15,03:40 AM,03:20 PM,06:53 AM,06:39 PM,-7,29,29,30,16,0,9,0.0,1009,39,10,111,10,Mali
2020-02-20,38,22,0.0,11.6,8,7,04:32 AM,04:12 PM,06:52 AM,06:39 PM,-6,30,30,30,12,4,10,0.0,1008,38,10,73,8,Mali
2020-02-21,40,25,0.0,11.6,8,0,05:22 AM,05:05 PM,06:52 AM,06:39 PM,-4,31,31,32,16,9,11,0.0,1008,40,10,107,11,Mali
2020-02-22,40,22,0.0,11.6,8,0,06:08 AM,05:56 PM,06:51 AM,06:40 PM,-3,31,31,32,18,13,12,0.0,1009,40,10,86,12,Mali
2020-02-23,40,23,0.0,11.6,8,0,06:50 AM,06:44 PM,06:51 AM,06:40 PM,-4,32,32,32,23,14,10,0.0,1010,40,10,75,15,Mali
2020-02-24,40,23,0.0,11.6,8,0,07:31 AM,07:32 PM,06:50 AM,06:40 PM,-4,31,31,32,26,7,10,0.0,1010,40,10,61,17,Mali
2020-02-25,39,22,0.0,11.6,8,8,08:08 AM,08:17 PM,06:50 AM,06:40 PM,-4,30,30,31,26,16,11,0.0,1011,39,10,57,17,Mali
2020-02-26,38,21,0.0,11.6,8,15,08:45 AM,09:03 PM,06:49 AM,06:40 PM,-5,29,29,30,22,5,10,0.0,1010,38,10,51,14,Mali
2020-02-27,39,21,0.0,11.6,8,23,09:21 AM,09:48 PM,06:49 AM,06:40 PM,-5,28,28,30,17,0,11,0.0,1009,39,10,37,10,Mali
2020-02-28,39,20,0.0,11.6,8,30,09:58 AM,10:34 PM,06:48 AM,06:41 PM,-6,28,28,29,17,0,10,0.0,1010,39,10,51,11,Mali
2020-02-29,39,20,0.0,11.6,8,38,10:36 AM,11:21 PM,06:48 AM,06:41 PM,-7,30,30,30,17,0,10,0.0,1010,39,10,48,11,Mali
2020-03-01,39,20,0.0,11.6,8,44,11:16 AM,No moonset,06:47 AM,06:41 PM,-10,30,30,30,17,0,8,0.0,1010,39,10,41,10,Mali
2020-03-02,38,20,0.0,11.6,8,51,12:00 PM,12:11 AM,06:47 AM,06:41 PM,-12,29,29,30,17,0,7,0.0,1011,38,10,49,11,Mali
