date_time,Barbados_maxtempC,Barbados_mintempC,Barbados_totalSnow_cm,Barbados_sunHour,Barbados_uvIndex,Barbados_moon_illumination,Barbados_moonrise,Barbados_moonset,Barbados_sunrise,Barbados_sunset,Barbados_DewPointC,Barbados_FeelsLikeC,Barbados_HeatIndexC,Barbados_WindChillC,Barbados_WindGustKmph,Barbados_cloudcover,Barbados_humidity,Barbados_precipMM,Barbados_pressure,Barbados_tempC,Barbados_visibility,Barbados_winddirDegree,Barbados_windspeedKmph,Barbados_location
2020-05-12,28,26,0.0,9.3,6,62,11:33 PM,10:20 AM,05:34 AM,06:16 PM,22,30,30,27,42,64,73,0.7,1014,28,10,93,33,Barbados
2020-05-13,28,24,0.0,9.3,6,55,No moonrise,11:15 AM,05:34 AM,06:16 PM,22,29,29,26,40,64,74,1.2,1015,28,10,84,31,Barbados
2020-05-14,28,26,0.0,10.6,6,48,12:19 AM,12:06 PM,05:33 AM,06:17 PM,22,29,29,27,33,63,73,0.4,1015,28,10,83,26,Barbados
2020-05-15,28,26,0.0,10.6,6,40,01:02 AM,12:55 PM,05:33 AM,06:17 PM,22,30,30,27,37,67,74,1.6,1015,28,10,86,29,Barbados
2020-05-16,28,27,0.0,8.0,6,33,01:41 AM,01:42 PM,05:33 AM,06:17 PM,23,30,30,27,42,70,75,1.4,1015,28,10,85,32,Barbados
2020-05-17,28,26,0.0,9.3,6,26,02:18 AM,02:27 PM,05:33 AM,06:17 PM,22,30,30,27,41,75,75,1.2,1015,28,10,83,31,Barbados
2020-05-18,28,24,0.0,10.6,6,19,02:54 AM,03:13 PM,05:32 AM,06:18 PM,22,29,29,27,34,68,74,1.7,1016,28,10,82,26,Barbados
2020-05-19,28,25,0.0,10.6,6,11,03:30 AM,03:58 PM,05:32 AM,06:18 PM,23,30,30,27,32,64,77,1.6,1015,28,10,83,24,Barbados
2020-05-20,29,27,0.0,9.3,6,4,04:06 AM,04:45 PM,05:32 AM,06:18 PM,24,31,31,28,37,75,80,6.3,1014,29,10,99,28,Barbados
2020-05-21,28,23,0.0,11.9,6,0,04:45 AM,05:34 PM,05:32 AM,06:18 PM,23,30,30,27,37,64,76,1.2,1015,28,10,100,28,Barbados
2020-05-22,29,25,0.0,8.0,6,0,05:26 AM,06:24 PM,05:32 AM,06:19 PM,22,30,30,27,34,69,73,1.0,1015,29,10,100,26,Barbados
2020-05-23,28,27,0.0,12.9,6,3,06:10 AM,07:17 PM,05:32 AM,06:19 PM,22,30,30,27,32,44,75,0.2,1015,28,10,88,25,Barbados
2020-05-24,28,26,0.0,10.6,6,10,06:59 AM,08:11 PM,05:32 AM,06:19 PM,23,30,30,27,29,64,77,1.6,1015,28,10,88,22,Barbados
2020-05-25,28,26,0.0,10.6,6,17,07:51 AM,09:06 PM,05:31 AM,06:20 PM,22,29,29,27,31,61,76,0.5,1014,28,10,93,24,Barbados
2020-05-26,29,27,0.0,8.1,6,25,08:46 AM,10:01 PM,05:31 AM,06:20 PM,23,31,31,28,35,74,78,2.6,1014,29,10,97,27,Barbados
2020-05-27,29,27,0.0,9.3,6,32,09:43 AM,10:53 PM,05:31 AM,06:20 PM,23,31,31,28,37,71,77,1.3,1014,29,10,103,28,Barbados
2020-05-28,29,27,0.0,8.1,6,39,10:41 AM,11:43 PM,05:31 AM,06:21 PM,22,31,31,28,38,77,73,1.0,1014,29,10,92,29,Barbados
2020-05-29,29,27,0.0,12.9,6,47,11:39 AM,No moonset,05:31 AM,06:21 PM,23,31,31,28,42,60,73,1.4,1014,29,10,88,31,Barbados
2020-05-30,29,27,0.0,11.9,6,54,12:35 PM,12:30 AM,05:31 AM,06:21 PM,22,31,31,28,37,62,73,0.8,1014,29,10,92,28,Barbados
2020-05-31,28,27,0.0,11.9,6,58,01:31 PM,01:16 AM,05:31 AM,06:21 PM,23,31,31,28,37,68,74,1.9,1015,28,10,90,29,Barbados
2020-06-01,28,27,0.0,9.4,6,71,02:27 PM,02:00 AM,05:31 AM,06:22 PM,22,30,30,28,33,66,72,1.7,1015,28,10,92,26,Barbados
2020-06-02,29,27,0.0,12.9,6,79,03:25 PM,02:45 AM,05:31 AM,06:22 PM,22,30,30,27,33,56,73,1.3,1014,29,10,89,26,Barbados
2020-06-03,28,26,0.0,11.9,6,86,04:24 PM,03:32 AM,05:31 AM,06:22 PM,23,30,30,27,37,58,76,1.5,1014,28,10,82,28,Barbados
2020-06-04,29,27,0.0,11.9,6,94,05:26 PM,04:21 AM,05:31 AM,06:23 PM,23,31,31,28,39,55,77,2.3,1014,29,10,81,29,Barbados
2020-06-05,29,27,0.0,9.4,6,100,06:27 PM,05:14 AM,05:31 AM,06:23 PM,23,31,31,28,39,63,77,1.6,1015,29,10,85,29,Barbados
2020-06-06,28,27,0.0,10.6,6,100,07:29 PM,06:10 AM,05:31 AM,06:23 PM,23,31,31,27,38,66,79,12.0,1015,28,9,85,25,Barbados
2020-06-07,29,23,0.0,12.9,6,84,08:27 PM,07:08 AM,05:32 AM,06:24 PM,23,30,30,27,32,47,75,0.9,1015,29,10,98,25,Barbados
2020-06-08,28,27,0.0,9.4,6,76,09:22 PM,08:06 AM,05:32 AM,06:24 PM,23,31,31,27,29,70,77,1.0,1014,28,10,98,22,Barbados
2020-06-09,28,26,0.0,9.4,6,69,10:12 PM,09:02 AM,05:32 AM,06:24 PM,23,30,30,27,29,61,76,0.9,1013,28,10,102,22,Barbados
2020-06-10,28,26,0.0,8.1,6,61,10:57 PM,09:57 AM,05:32 AM,06:24 PM,22,30,30,27,31,62,76,1.3,1014,28,10,104,23,Barbados
2020-06-11,28,26,0.0,8.1,6,54,11:38 PM,10:47 AM,05:32 AM,06:25 PM,23,30,30,27,36,70,77,5.1,1014,28,10,88,26,Barbados
2020-06-12,28,27,0.0,12.9,6,46,No moonrise,11:36 AM,05:32 AM,06:25 PM,23,31,31,27,39,63,77,10.2,1013,28,10,102,27,Barbados
2020-06-13,29,27,0.0,11.9,6,38,12:16 AM,12:22 PM,05:32 AM,06:25 PM,22,30,30,27,31,47,74,0.5,1013,29,10,94,24,Barbados
2020-06-14,29,27,0.0,12.9,6,31,12:53 AM,01:08 PM,05:32 AM,06:26 PM,23,31,31,28,33,44,75,0.3,1014,29,10,82,26,Barbados
2020-06-15,29,27,0.0,8.1,6,23,01:29 AM,01:53 PM,05:33 AM,06:26 PM,23,31,31,28,41,69,76,1.0,1014,29,10,76,31,Barbados
2020-06-16,29,27,0.0,8.1,6,16,02:05 AM,02:39 PM,05:33 AM,06:26 PM,23,31,31,28,41,70,76,3.5,1014,29,10,78,31,Barbados
2020-06-17,29,24,0.0,8.1,6,8,02:42 AM,03:27 PM,05:33 AM,06:26 PM,23,31,31,28,45,71,75,1.2,1014,29,10,84,34,Barbados
2020-06-18,29,28,0.0,9.4,6,1,03:22 AM,04:16 PM,05:33 AM,06:26 PM,24,32,32,28,42,65,77,3.8,1014,29,10,86,31,Barbados
2020-06-19,29,27,0.0,10.7,6,0,04:05 AM,05:09 PM,05:33 AM,06:27 PM,23,32,32,28,38,62,74,3.1,1014,29,10,86,28,Barbados
2020-06-20,29,24,0.0,8.1,6,0,04:52 AM,06:04 PM,05:34 AM,06:27 PM,24,31,31,27,50,76,77,17.4,1014,29,9,94,32,Barbados
2020-06-21,29,28,0.0,9.4,6,0,05:44 AM,06:59 PM,05:34 AM,06:27 PM,23,32,32,28,48,69,73,1.7,1016,29,10,90,36,Barbados
2020-06-22,29,28,0.0,8.1,6,7,06:39 AM,07:55 PM,05:34 AM,06:27 PM,23,32,32,28,51,72,75,1.2,1015,29,10,79,39,Barbados
2020-06-23,29,27,0.0,8.1,6,14,07:37 AM,08:49 PM,05:34 AM,06:28 PM,23,31,31,28,45,73,74,2.1,1014,29,10,73,33,Barbados
2020-06-24,29,27,0.0,8.1,6,22,08:35 AM,09:41 PM,05:34 AM,06:28 PM,23,31,31,28,44,77,75,3.4,1013,29,10,76,33,Barbados
2020-06-25,29,27,0.0,9.4,6,29,09:34 AM,10:29 PM,05:35 AM,06:28 PM,23,31,31,28,46,67,77,5.1,1014,29,10,85,35,Barbados
2020-06-26,29,27,0.0,8.1,6,37,10:31 AM,11:15 PM,05:35 AM,06:28 PM,23,32,32,28,50,79,73,1.1,1014,29,10,83,38,Barbados
2020-06-27,29,24,0.0,9.4,6,44,11:27 AM,11:59 PM,05:35 AM,06:28 PM,23,31,31,27,49,65,74,1.5,1013,29,10,79,36,Barbados
2020-06-28,29,25,0.0,10.6,6,52,12:22 PM,No moonset,05:35 AM,06:28 PM,23,31,31,27,38,65,75,0.9,1013,29,10,83,29,Barbados
2020-06-29,28,27,0.0,9.4,6,59,01:18 PM,12:43 AM,05:36 AM,06:29 PM,22,30,30,27,36,68,75,1.0,1013,28,10,91,27,Barbados
2020-06-30,28,25,0.0,12.9,6,67,02:14 PM,01:28 AM,05:36 AM,06:29 PM,23,30,30,27,36,50,77,0.7,1013,28,10,78,28,Barbados
2020-07-01,29,24,0.0,9.4,6,72,03:13 PM,02:14 AM,05:36 AM,06:29 PM,24,31,31,28,38,68,77,7.7,1013,29,10,95,29,Barbados
2020-07-02,29,27,0.0,8.1,6,79,04:13 PM,03:04 AM,05:37 AM,06:29 PM,22,31,31,28,43,69,72,1.1,1013,29,10,89,33,Barbados
2020-07-03,29,27,0.0,10.6,6,86,05:14 PM,03:57 AM,05:37 AM,06:29 PM,22,31,31,28,41,69,72,1.3,1013,29,10,84,31,Barbados
2020-07-04,28,25,0.0,8.1,6,94,06:13 PM,04:53 AM,05:37 AM,06:29 PM,23,30,30,27,38,73,75,2.7,1013,28,10,88,29,Barbados
2020-07-05,29,27,0.0,9.4,6,100,07:10 PM,05:51 AM,05:37 AM,06:29 PM,23,31,31,28,39,76,75,3.1,1013,29,10,84,29,Barbados
2020-07-06,29,25,0.0,8.1,6,100,08:02 PM,06:49 AM,05:38 AM,06:29 PM,24,32,32,28,41,71,78,9.4,1013,29,10,85,30,Barbados
2020-07-07,29,25,0.0,9.4,6,85,08:50 PM,07:45 AM,05:38 AM,06:29 PM,24,31,31,28,41,70,78,2.6,1013,29,10,95,32,Barbados
2020-07-08,28,27,0.0,8.1,6,77,09:33 PM,08:37 AM,05:38 AM,06:29 PM,23,31,31,28,46,76,77,9.5,1013,28,9,74,32,Barbados
2020-07-09,29,27,0.0,8.1,6,70,10:13 PM,09:28 AM,05:38 AM,06:29 PM,23,31,31,28,45,83,73,1.9,1013,29,9,79,33,Barbados
2020-07-10,29,27,0.0,11.9,6,63,10:50 PM,10:15 AM,05:39 AM,06:29 PM,23,31,31,28,47,54,74,1.4,1014,29,10,78,34,Barbados
2020-07-11,29,27,0.0,9.4,6,55,11:26 PM,11:02 AM,05:39 AM,06:29 PM,23,31,31,28,39,69,77,2.9,1013,29,10,90,29,Barbados
2020-07-12,29,26,0.0,10.6,6,48,No moonrise,11:47 AM,05:39 AM,06:29 PM,23,31,31,28,43,72,76,2.6,1014,29,10,85,31,Barbados
2020-07-13,29,27,0.0,9.3,6,41,12:02 AM,12:32 PM,05:40 AM,06:29 PM,23,31,31,28,40,65,74,1.5,1014,29,9,77,30,Barbados
2020-07-14,29,24,0.0,11.9,6,34,12:39 AM,01:20 PM,05:40 AM,06:29 PM,22,30,30,28,30,53,70,1.2,1014,29,10,78,23,Barbados
2020-07-15,28,27,0.0,12.9,6,26,01:17 AM,02:08 PM,05:40 AM,06:29 PM,22,30,30,28,27,56,73,0.5,1013,28,10,105,22,Barbados
2020-07-16,28,26,0.0,11.9,6,19,01:59 AM,02:59 PM,05:40 AM,06:29 PM,23,30,30,27,29,54,77,0.1,1014,28,10,99,23,Barbados
2020-07-17,29,26,0.0,12.9,6,12,02:44 AM,03:52 PM,05:41 AM,06:29 PM,23,30,30,27,29,41,77,0.1,1013,29,10,96,22,Barbados
2020-07-18,28,26,0.0,9.3,6,5,03:34 AM,04:48 PM,05:41 AM,06:29 PM,23,31,31,27,30,67,78,0.9,1013,28,10,96,23,Barbados
2020-07-19,29,25,0.0,8.0,6,0,04:28 AM,05:45 PM,05:41 AM,06:28 PM,23,30,30,27,31,69,76,1.2,1012,29,10,97,23,Barbados
