date_time,Germany_maxtempC,Germany_mintempC,Germany_totalSnow_cm,Germany_sunHour,Germany_uvIndex,Germany_moon_illumination,Germany_moonrise,Germany_moonset,Germany_sunrise,Germany_sunset,Germany_DewPointC,Germany_FeelsLikeC,Germany_HeatIndexC,Germany_WindChillC,Germany_WindGustKmph,Germany_cloudcover,Germany_humidity,Germany_precipMM,Germany_pressure,Germany_tempC,Germany_visibility,Germany_winddirDegree,Germany_windspeedKmph,Germany_location
2020-04-29,15,10,0.0,9.3,3,45,08:47 AM,01:08 AM,04:38 AM,07:31 PM,8,12,13,12,10,94,76,0.8,1004,15,10,171,8,Germany
2020-04-30,15,11,0.0,10.4,3,52,09:55 AM,01:54 AM,04:36 AM,07:32 PM,8,12,13,12,20,69,73,3.5,1005,15,9,202,14,Germany
2020-05-01,16,11,0.0,12.5,3,58,11:12 AM,02:30 AM,04:34 AM,07:34 PM,7,12,13,12,22,67,67,4.2,1004,16,10,222,16,Germany
2020-05-02,14,9,0.0,10.4,3,65,12:34 PM,03:00 AM,04:32 AM,07:36 PM,6,10,12,10,23,79,70,2.6,1004,14,10,250,17,Germany
2020-05-03,15,8,0.0,9.4,3,72,01:59 PM,03:24 AM,04:30 AM,07:37 PM,5,10,11,10,21,80,69,0.5,1013,15,10,281,16,Germany
2020-05-04,12,3,0.0,9.4,3,80,03:25 PM,03:44 AM,04:28 AM,07:39 PM,6,9,10,9,13,77,72,4.7,1016,12,9,303,10,Germany
2020-05-05,13,6,0.0,12.5,3,87,04:53 PM,04:04 AM,04:27 AM,07:41 PM,1,8,10,8,19,31,57,2.2,1020,13,10,322,15,Germany
2020-05-06,16,6,0.0,13.5,3,94,06:21 PM,04:23 AM,04:25 AM,07:42 PM,3,9,11,9,20,28,59,0.0,1022,16,10,317,15,Germany
2020-05-07,15,7,0.0,12.5,3,100,07:50 PM,04:45 AM,04:23 AM,07:44 PM,5,9,11,9,20,51,65,0.0,1021,15,10,290,16,Germany
2020-05-08,19,10,0.0,13.5,4,100,09:17 PM,05:11 AM,04:21 AM,07:46 PM,5,14,14,14,12,27,57,0.0,1019,19,10,297,9,Germany
2020-05-09,24,12,0.0,13.5,4,84,10:36 PM,05:43 AM,04:19 AM,07:47 PM,6,18,18,18,7,35,49,0.0,1015,24,10,126,5,Germany
2020-05-10,23,13,0.0,12.5,4,77,11:45 PM,06:24 AM,04:18 AM,07:49 PM,11,17,18,17,16,37,64,0.6,1006,23,9,183,12,Germany
2020-05-11,9,5,0.0,9.6,2,70,No moonrise,07:17 AM,04:16 AM,07:51 PM,2,5,8,5,26,90,68,4.2,1006,9,9,334,20,Germany
2020-05-12,11,3,0.0,12.5,2,62,12:39 AM,08:18 AM,04:14 AM,07:52 PM,-1,5,8,5,22,38,53,0.5,1015,11,10,277,16,Germany
2020-05-13,13,5,0.0,14.5,3,55,01:21 AM,09:27 AM,04:13 AM,07:54 PM,-1,7,9,7,17,32,53,0.0,1016,13,10,238,13,Germany
2020-05-14,14,7,0.0,14.5,3,48,01:52 AM,10:37 AM,04:11 AM,07:55 PM,1,9,10,9,16,45,55,0.0,1015,14,10,147,12,Germany
2020-05-15,14,9,0.0,13.5,3,40,02:15 AM,11:47 AM,04:10 AM,07:57 PM,3,10,11,10,14,32,57,0.1,1018,14,10,262,11,Germany
2020-05-16,14,6,0.0,11.6,3,33,02:34 AM,12:56 PM,04:08 AM,07:58 PM,4,9,10,9,20,60,64,0.2,1022,14,10,274,15,Germany
2020-05-17,20,8,0.0,14.5,5,26,02:50 AM,02:04 PM,04:07 AM,08:00 PM,5,13,14,13,13,43,60,0.0,1022,20,10,234,9,Germany
2020-05-18,19,11,0.0,10.9,4,19,03:05 AM,03:12 PM,04:05 AM,08:01 PM,8,15,15,15,19,49,61,0.0,1021,19,10,238,13,Germany
2020-05-19,17,12,0.0,11.8,3,11,03:20 AM,04:19 PM,04:04 AM,08:03 PM,10,14,14,14,20,60,75,0.7,1019,17,10,292,15,Germany
2020-05-20,20,10,0.0,14.5,5,4,03:35 AM,05:28 PM,04:02 AM,08:04 PM,6,15,15,15,14,18,56,0.0,1022,20,10,268,11,Germany
2020-05-21,21,11,0.0,14.5,5,0,03:51 AM,06:38 PM,04:01 AM,08:06 PM,4,16,16,16,10,12,47,0.0,1025,21,10,62,7,Germany
2020-05-22,19,11,0.0,11.8,4,0,04:10 AM,07:49 PM,04:00 AM,08:07 PM,7,15,15,15,18,48,60,0.2,1022,19,10,146,13,Germany
2020-05-23,19,12,0.0,12.8,4,3,04:35 AM,08:59 PM,03:59 AM,08:09 PM,10,14,15,14,21,66,72,5.3,1020,19,10,235,16,Germany
2020-05-24,16,10,0.0,11.2,3,10,05:06 AM,10:06 PM,03:57 AM,08:10 PM,7,11,13,11,28,73,70,3.1,1024,16,10,274,21,Germany
2020-05-25,13,10,0.0,10.3,3,17,05:48 AM,11:06 PM,03:56 AM,08:11 PM,8,10,12,10,24,93,79,1.2,1026,13,9,272,17,Germany
2020-05-26,20,10,0.0,13.7,4,25,06:40 AM,11:55 PM,03:55 AM,08:13 PM,8,15,15,15,11,38,64,1.0,1033,20,10,224,9,Germany
2020-05-27,21,12,0.0,12.0,4,32,07:45 AM,No moonset,03:54 AM,08:14 PM,8,16,17,16,13,73,61,0.7,1031,21,10,244,10,Germany
2020-05-28,19,11,0.0,14.5,5,39,08:59 AM,12:34 AM,03:53 AM,08:15 PM,6,14,15,14,20,33,57,0.1,1030,19,10,256,16,Germany
2020-05-29,18,9,0.0,13.7,4,47,10:18 AM,01:05 AM,03:52 AM,08:16 PM,4,13,14,13,21,30,52,0.0,1029,18,10,40,16,Germany
2020-05-30,18,10,0.0,12.1,4,54,11:41 AM,01:30 AM,03:51 AM,08:18 PM,4,13,14,13,21,48,53,0.1,1025,18,10,26,16,Germany
2020-05-31,20,10,0.0,13.7,4,58,01:04 PM,01:50 AM,03:50 AM,08:19 PM,7,14,15,14,24,29,60,0.0,1023,20,10,21,19,Germany
2020-06-01,21,11,0.0,14.5,5,71,02:27 PM,02:09 AM,03:49 AM,08:20 PM,7,16,17,16,19,1,56,0.0,1025,21,10,49,15,Germany
2020-06-02,23,12,0.0,14.5,6,79,03:53 PM,02:27 AM,03:49 AM,08:21 PM,8,18,18,18,14,24,55,0.3,1019,23,10,28,11,Germany
2020-06-03,24,15,0.0,12.9,5,86,05:20 PM,02:47 AM,03:48 AM,08:22 PM,10,20,20,20,12,55,57,2.2,1008,24,10,201,9,Germany
2020-06-04,19,10,0.0,12.1,4,94,06:46 PM,03:10 AM,03:47 AM,08:23 PM,10,15,16,15,20,62,66,1.4,997,19,8,148,16,Germany
2020-06-05,19,12,0.0,13.7,4,100,08:10 PM,03:38 AM,03:47 AM,08:24 PM,7,14,15,14,22,61,62,3.0,995,19,10,242,18,Germany
