date_time,Zambia_maxtempC,Zambia_mintempC,Zambia_totalSnow_cm,Zambia_sunHour,Zambia_uvIndex,Zambia_moon_illumination,Zambia_moonrise,Zambia_moonset,Zambia_sunrise,Zambia_sunset,Zambia_DewPointC,Zambia_FeelsLikeC,Zambia_HeatIndexC,Zambia_WindChillC,Zambia_WindGustKmph,Zambia_cloudcover,Zambia_humidity,Zambia_precipMM,Zambia_pressure,Zambia_tempC,Zambia_visibility,Zambia_winddirDegree,Zambia_windspeedKmph,Zambia_location
2020-06-10,24,11,0.0,8.7,5,61,10:16 PM,10:35 AM,06:29 AM,05:44 PM,6,17,19,17,16,5,53,0.0,1017,24,10,88,10,Zambia
2020-06-11,28,12,0.0,8.7,6,54,11:07 PM,11:18 AM,06:30 AM,05:44 PM,9,20,20,20,12,8,58,0.0,1016,28,10,97,7,Zambia
2020-06-12,25,14,0.0,8.7,6,46,11:56 PM,11:58 AM,06:30 AM,05:44 PM,7,19,20,19,13,7,49,0.0,1017,25,10,129,9,Zambia
2020-06-13,22,13,0.0,7.2,4,38,No moonrise,12:34 PM,06:30 AM,05:44 PM,8,17,17,17,19,53,56,0.5,1020,22,10,122,13,Zambia
2020-06-14,18,13,0.0,5.7,4,31,12:43 AM,01:10 PM,06:30 AM,05:44 PM,10,14,16,14,19,59,75,0.3,1023,18,10,90,14,Zambia
2020-06-15,20,10,0.0,7.2,4,23,01:29 AM,01:45 PM,06:31 AM,05:44 PM,9,14,15,14,16,47,72,0.2,1023,20,7,105,11,Zambia
2020-06-16,19,10,0.0,5.7,4,16,02:15 AM,02:20 PM,06:31 AM,05:44 PM,7,14,16,14,18,31,65,0.1,1022,19,10,105,12,Zambia
2020-06-17,20,9,0.0,7.2,4,8,03:03 AM,02:57 PM,06:31 AM,05:45 PM,6,13,15,13,22,22,63,0.0,1023,20,10,100,14,Zambia
2020-06-18,17,9,0.0,5.7,3,1,03:52 AM,03:37 PM,06:31 AM,05:45 PM,8,12,13,12,18,48,75,0.1,1024,17,9,98,12,Zambia
2020-06-19,19,9,0.0,4.2,4,0,04:43 AM,04:20 PM,06:32 AM,05:45 PM,8,14,14,14,17,50,70,0.5,1023,19,9,102,11,Zambia
2020-06-20,21,10,0.0,8.7,5,0,05:37 AM,05:08 PM,06:32 AM,05:45 PM,6,15,16,15,16,26,61,0.0,1022,21,10,120,10,Zambia
2020-06-21,20,10,0.0,7.2,5,0,06:32 AM,06:00 PM,06:32 AM,05:45 PM,7,15,15,15,12,32,62,0.0,1021,20,10,120,8,Zambia
2020-06-22,20,10,0.0,7.2,4,7,07:28 AM,06:56 PM,06:32 AM,05:46 PM,6,15,15,15,14,34,55,0.0,1019,20,10,120,9,Zambia
2020-06-23,21,11,0.0,7.2,4,14,08:23 AM,07:55 PM,06:33 AM,05:46 PM,6,15,16,15,18,34,57,0.2,1020,21,10,113,11,Zambia
2020-06-24,22,11,0.0,7.2,4,22,09:16 AM,08:54 PM,06:33 AM,05:46 PM,8,16,17,16,19,37,59,0.2,1020,22,10,109,13,Zambia
2020-06-25,21,12,0.0,7.2,4,29,10:06 AM,09:53 PM,06:33 AM,05:46 PM,10,16,16,16,19,43,68,1.3,1018,21,10,104,13,Zambia
2020-06-26,23,13,0.0,7.2,4,37,10:53 AM,10:50 PM,06:33 AM,05:47 PM,10,16,17,16,16,36,69,0.0,1016,23,10,102,11,Zambia
2020-06-27,25,15,0.0,8.7,6,44,11:37 AM,11:47 PM,06:33 AM,05:47 PM,10,19,20,19,13,22,57,0.0,1015,25,10,108,8,Zambia
2020-06-28,27,14,0.0,8.7,6,52,12:20 PM,No moonset,06:33 AM,05:47 PM,6,21,21,20,13,10,45,0.0,1016,27,10,131,8,Zambia
2020-06-29,27,15,0.0,8.7,6,59,01:03 PM,12:43 AM,06:34 AM,05:47 PM,4,21,21,21,15,6,36,0.0,1017,27,10,135,9,Zambia
2020-06-30,24,14,0.0,8.7,6,67,01:47 PM,01:41 AM,06:34 AM,05:48 PM,5,19,20,19,21,3,44,0.0,1018,24,10,104,14,Zambia
2020-07-01,21,12,0.0,8.7,5,72,02:33 PM,02:38 AM,06:34 AM,05:48 PM,8,16,17,16,21,17,63,0.0,1021,21,10,98,14,Zambia
2020-07-02,21,10,0.0,7.2,4,79,03:23 PM,03:39 AM,06:34 AM,05:48 PM,8,15,16,15,19,21,67,0.0,1021,21,10,102,12,Zambia
2020-07-03,23,9,0.0,8.7,5,86,04:16 PM,04:39 AM,06:34 AM,05:49 PM,6,15,17,15,18,4,60,0.0,1020,23,10,104,12,Zambia
2020-07-04,23,11,0.0,8.7,5,94,05:13 PM,05:41 AM,06:34 AM,05:49 PM,4,16,18,16,19,1,48,0.0,1021,23,10,106,13,Zambia
2020-07-05,22,9,0.0,8.7,5,100,06:11 PM,06:39 AM,06:34 AM,05:49 PM,5,14,16,14,17,6,57,0.0,1020,22,10,105,11,Zambia
