date_time,Saudi%20Arabia_maxtempC,Saudi%20Arabia_mintempC,Saudi%20Arabia_totalSnow_cm,Saudi%20Arabia_sunHour,Saudi%20Arabia_uvIndex,Saudi%20Arabia_moon_illumination,Saudi%20Arabia_moonrise,Saudi%20Arabia_moonset,Saudi%20Arabia_sunrise,Saudi%20Arabia_sunset,Saudi%20Arabia_DewPointC,Saudi%20Arabia_FeelsLikeC,Saudi%20Arabia_HeatIndexC,Saudi%20Arabia_WindChillC,Saudi%20Arabia_WindGustKmph,Saudi%20Arabia_cloudcover,Saudi%20Arabia_humidity,Saudi%20Arabia_precipMM,Saudi%20Arabia_pressure,Saudi%20Arabia_tempC,Saudi%20Arabia_visibility,Saudi%20Arabia_winddirDegree,Saudi%20Arabia_windspeedKmph,Saudi%20Arabia_location
2020-06-05,43,29,0.0,13.4,9,100,06:24 PM,04:34 AM,05:03 AM,06:40 PM,-2,36,36,36,19,13,10,0.0,1007,43,10,44,12,Saudi%20Arabia
2020-06-06,43,28,0.0,13.4,9,100,07:29 PM,05:26 AM,05:03 AM,06:40 PM,-2,36,36,36,26,3,10,0.0,1007,43,10,94,16,Saudi%20Arabia
2020-06-07,42,29,0.0,13.4,9,84,08:29 PM,06:21 AM,05:03 AM,06:40 PM,-1,36,36,36,26,7,10,0.0,1005,42,10,106,16,Saudi%20Arabia
2020-06-08,42,29,0.0,13.4,9,76,09:25 PM,07:19 AM,05:03 AM,06:41 PM,-0,36,36,36,13,12,11,0.0,1004,42,10,221,8,Saudi%20Arabia
2020-06-09,43,29,0.0,13.4,9,69,10:13 PM,08:18 AM,05:03 AM,06:41 PM,1,36,36,37,18,28,11,0.0,1004,43,10,117,12,Saudi%20Arabia
2020-06-10,43,32,0.0,13.4,9,61,10:56 PM,09:16 AM,05:03 AM,06:42 PM,-1,36,36,37,22,25,9,0.0,1004,43,10,142,13,Saudi%20Arabia
2020-06-11,44,30,0.0,13.4,9,54,11:34 PM,10:11 AM,05:03 AM,06:42 PM,-2,37,37,37,16,5,9,0.0,1003,44,10,207,10,Saudi%20Arabia
2020-06-12,44,28,0.0,13.4,9,46,No moonrise,11:05 AM,05:04 AM,06:42 PM,-5,37,37,37,14,0,7,0.0,1002,44,10,225,8,Saudi%20Arabia
2020-06-13,42,28,0.0,13.4,9,38,12:09 AM,11:57 AM,05:04 AM,06:43 PM,-3,36,36,36,18,0,9,0.0,1004,42,10,62,11,Saudi%20Arabia
2020-06-14,42,26,0.0,13.4,9,31,12:41 AM,12:47 PM,05:04 AM,06:43 PM,-3,34,34,35,18,0,10,0.0,1005,42,10,63,11,Saudi%20Arabia
