date_time,Cape%20Verde_maxtempC,Cape%20Verde_mintempC,Cape%20Verde_totalSnow_cm,Cape%20Verde_sunHour,Cape%20Verde_uvIndex,Cape%20Verde_moon_illumination,Cape%20Verde_moonrise,Cape%20Verde_moonset,Cape%20Verde_sunrise,Cape%20Verde_sunset,Cape%20Verde_DewPointC,Cape%20Verde_FeelsLikeC,Cape%20Verde_HeatIndexC,Cape%20Verde_WindChillC,Cape%20Verde_WindGustKmph,Cape%20Verde_cloudcover,Cape%20Verde_humidity,Cape%20Verde_precipMM,Cape%20Verde_pressure,Cape%20Verde_tempC,Cape%20Verde_visibility,Cape%20Verde_winddirDegree,Cape%20Verde_windspeedKmph,Cape%20Verde_location
2020-02-16,22,19,0.0,11.6,6,38,01:00 AM,12:40 PM,06:57 AM,06:34 PM,17,21,24,21,42,37,76,0.0,1015,22,10,44,26,Cape%20Verde
2020-02-17,21,17,0.0,11.6,6,30,01:58 AM,01:29 PM,06:57 AM,06:35 PM,18,20,21,20,41,2,84,0.0,1016,21,10,20,30,Cape%20Verde
2020-02-18,23,15,0.0,11.6,6,22,02:55 AM,02:20 PM,06:56 AM,06:35 PM,18,24,24,21,35,4,77,0.0,1015,23,10,33,23,Cape%20Verde
2020-02-19,22,19,0.0,11.6,6,15,03:50 AM,03:14 PM,06:56 AM,06:35 PM,18,21,24,21,49,12,79,0.0,1014,22,10,28,32,Cape%20Verde
2020-02-20,21,18,0.0,11.6,6,7,04:42 AM,04:07 PM,06:55 AM,06:36 PM,18,20,20,20,47,23,83,0.0,1014,21,10,22,33,Cape%20Verde
2020-02-21,21,17,0.0,11.6,6,0,05:31 AM,05:00 PM,06:55 AM,06:36 PM,18,20,21,20,41,9,85,0.0,1014,21,10,21,32,Cape%20Verde
2020-02-22,20,16,0.0,7.3,4,0,06:15 AM,05:52 PM,06:54 AM,06:36 PM,17,19,20,19,44,49,83,0.0,1015,20,10,21,33,Cape%20Verde
2020-02-23,20,15,0.0,11.6,5,0,06:57 AM,06:42 PM,06:54 AM,06:37 PM,17,19,19,19,30,34,81,0.0,1015,20,10,21,23,Cape%20Verde
2020-02-24,20,14,0.0,11.6,5,0,07:35 AM,07:31 PM,06:53 AM,06:37 PM,15,18,19,18,26,27,75,0.0,1015,20,10,100,19,Cape%20Verde
2020-02-25,21,17,0.0,7.3,5,8,08:11 AM,08:18 PM,06:52 AM,06:37 PM,17,20,21,20,30,69,81,2.9,1014,21,10,89,22,Cape%20Verde
2020-02-26,23,15,0.0,11.6,6,15,08:46 AM,09:05 PM,06:52 AM,06:37 PM,18,23,23,21,37,5,78,0.0,1012,23,10,21,23,Cape%20Verde
2020-02-27,23,20,0.0,11.6,6,23,09:21 AM,09:51 PM,06:51 AM,06:38 PM,18,24,24,22,28,1,75,0.0,1012,23,10,95,16,Cape%20Verde
2020-02-28,23,22,0.0,11.6,6,30,09:57 AM,10:38 PM,06:51 AM,06:38 PM,17,25,25,22,39,30,75,0.0,1013,23,10,147,22,Cape%20Verde
2020-02-29,22,19,0.0,11.6,6,38,10:33 AM,11:28 PM,06:50 AM,06:38 PM,17,21,24,21,52,7,76,0.0,1016,22,10,29,35,Cape%20Verde
2020-03-01,22,20,0.0,11.6,6,44,11:13 AM,No moonset,06:49 AM,06:39 PM,17,22,24,22,53,1,76,0.0,1015,22,10,37,37,Cape%20Verde
2020-03-02,23,18,0.0,11.6,6,51,11:56 AM,12:18 AM,06:49 AM,06:39 PM,18,24,24,21,46,12,78,0.0,1015,23,10,39,33,Cape%20Verde
2020-03-03,22,21,0.0,11.6,6,58,12:43 PM,01:12 AM,06:48 AM,06:39 PM,18,22,24,22,39,7,81,0.0,1015,22,10,40,27,Cape%20Verde
2020-03-04,22,18,0.0,11.6,6,65,01:36 PM,02:07 AM,06:47 AM,06:39 PM,18,21,24,21,37,4,80,0.0,1016,22,10,29,26,Cape%20Verde
2020-03-05,22,20,0.0,11.6,6,73,02:33 PM,03:05 AM,06:47 AM,06:40 PM,18,21,24,21,44,0,81,0.0,1015,22,10,21,30,Cape%20Verde
2020-03-06,22,19,0.0,11.6,6,80,03:35 PM,04:02 AM,06:46 AM,06:40 PM,19,24,24,21,37,3,83,0.0,1013,22,10,28,27,Cape%20Verde
2020-03-07,21,18,0.0,11.6,6,87,04:38 PM,04:57 AM,06:45 AM,06:40 PM,19,21,24,21,33,17,86,0.0,1012,21,10,18,25,Cape%20Verde
2020-03-08,21,18,0.0,11.6,6,95,05:42 PM,05:50 AM,06:44 AM,06:40 PM,18,21,23,21,35,12,83,0.0,1013,21,10,29,26,Cape%20Verde
2020-03-09,21,18,0.0,11.6,6,100,06:45 PM,06:40 AM,06:44 AM,06:40 PM,19,21,23,21,27,11,86,0.0,1013,21,10,18,21,Cape%20Verde
2020-03-10,22,18,0.0,11.6,6,100,07:47 PM,07:28 AM,06:43 AM,06:41 PM,18,21,24,21,29,0,81,0.0,1013,22,10,97,20,Cape%20Verde
2020-03-11,22,20,0.0,11.6,6,84,08:48 PM,08:13 AM,06:42 AM,06:41 PM,18,21,24,21,28,0,78,0.0,1012,22,10,137,18,Cape%20Verde
2020-03-12,23,19,0.0,11.6,6,76,09:50 PM,08:59 AM,06:41 AM,06:41 PM,18,24,24,22,28,0,75,0.0,1013,23,10,14,18,Cape%20Verde
2020-03-13,23,20,0.0,11.6,6,69,10:50 PM,09:46 AM,06:41 AM,06:41 PM,18,25,25,23,30,0,73,0.0,1013,23,10,26,19,Cape%20Verde
2020-03-14,22,22,0.0,11.6,6,62,11:50 PM,10:34 AM,06:40 AM,06:42 PM,18,22,24,22,34,1,76,0.0,1014,22,10,12,23,Cape%20Verde
2020-03-15,21,18,0.0,11.6,6,55,No moonrise,11:24 AM,06:39 AM,06:42 PM,18,21,24,21,41,0,81,0.0,1015,21,10,30,29,Cape%20Verde
2020-03-16,21,18,0.0,11.6,5,47,12:49 AM,12:16 PM,06:38 AM,06:42 PM,17,20,22,20,44,19,80,0.0,1015,21,10,32,35,Cape%20Verde
2020-03-17,20,15,0.0,10.2,4,40,01:46 AM,01:10 PM,06:38 AM,06:42 PM,16,19,20,19,40,60,79,0.0,1015,20,10,29,30,Cape%20Verde
2020-03-18,20,18,0.0,6.0,5,33,02:39 AM,02:03 PM,06:37 AM,06:42 PM,16,20,20,20,38,86,77,0.7,1015,20,9,30,29,Cape%20Verde
2020-03-19,20,15,0.0,7.4,4,25,03:29 AM,02:57 PM,06:36 AM,06:42 PM,15,19,19,19,35,74,76,0.3,1016,20,10,35,28,Cape%20Verde
2020-03-20,20,17,0.0,11.6,4,18,04:15 AM,03:49 PM,06:35 AM,06:43 PM,16,19,20,19,38,50,78,0.0,1015,20,10,43,28,Cape%20Verde
2020-03-21,21,14,0.0,11.6,6,11,04:57 AM,04:39 PM,06:35 AM,06:43 PM,17,19,20,19,39,12,80,0.0,1015,21,10,38,28,Cape%20Verde
2020-03-22,21,17,0.0,11.6,6,4,05:36 AM,05:28 PM,06:34 AM,06:43 PM,17,20,20,20,41,27,83,0.0,1016,21,10,33,31,Cape%20Verde
2020-03-23,20,15,0.0,7.4,4,0,06:12 AM,06:15 PM,06:33 AM,06:43 PM,15,18,19,18,36,63,76,0.3,1017,20,10,30,29,Cape%20Verde
2020-03-24,20,13,0.0,7.4,4,0,06:47 AM,07:02 PM,06:32 AM,06:43 PM,15,18,19,18,36,61,74,0.0,1016,20,10,42,26,Cape%20Verde
2020-03-25,20,17,0.0,11.6,4,3,07:22 AM,07:48 PM,06:31 AM,06:43 PM,15,19,20,19,29,59,74,0.1,1015,20,10,33,23,Cape%20Verde
2020-03-26,20,16,0.0,11.6,5,11,07:57 AM,08:35 PM,06:31 AM,06:44 PM,15,19,20,19,32,45,73,0.0,1014,20,10,17,24,Cape%20Verde
2020-03-27,20,16,0.0,11.6,4,18,08:33 AM,09:24 PM,06:30 AM,06:44 PM,16,19,20,19,37,40,77,0.0,1015,20,10,32,27,Cape%20Verde
2020-03-28,21,17,0.0,11.6,5,25,09:11 AM,10:14 PM,06:29 AM,06:44 PM,16,20,20,20,35,47,78,0.1,1016,21,10,43,26,Cape%20Verde
2020-03-29,20,15,0.0,11.6,5,32,09:53 AM,11:06 PM,06:28 AM,06:44 PM,17,19,20,19,32,34,81,0.0,1015,20,10,44,25,Cape%20Verde
2020-03-30,21,15,0.0,11.6,6,40,10:37 AM,12:00 AM,06:28 AM,06:44 PM,18,20,20,20,24,10,82,0.0,1013,21,10,37,17,Cape%20Verde
2020-03-31,22,17,0.0,11.6,6,44,11:27 AM,No moonset,06:27 AM,06:45 PM,18,20,23,20,23,10,82,0.0,1012,22,10,62,17,Cape%20Verde
2020-04-01,22,20,0.0,10.2,5,56,12:21 PM,12:55 AM,06:26 AM,06:45 PM,19,21,24,21,29,24,84,0.0,1014,22,10,26,21,Cape%20Verde
2020-04-02,22,18,0.0,11.6,6,64,01:19 PM,01:50 AM,06:25 AM,06:45 PM,19,21,24,21,32,8,85,0.0,1014,22,10,22,24,Cape%20Verde
2020-04-03,22,22,0.0,11.6,6,71,02:19 PM,02:44 AM,06:25 AM,06:45 PM,19,22,25,22,31,3,83,0.0,1014,22,10,11,23,Cape%20Verde
2020-04-04,21,20,0.0,11.6,6,79,03:21 PM,03:37 AM,06:24 AM,06:45 PM,18,21,24,21,34,4,84,0.0,1014,21,10,24,25,Cape%20Verde
2020-04-05,22,15,0.0,10.2,5,87,04:23 PM,04:26 AM,06:23 AM,06:45 PM,18,20,23,20,38,31,83,0.0,1016,22,10,35,27,Cape%20Verde
2020-04-06,22,19,0.0,11.6,6,94,05:26 PM,05:14 AM,06:22 AM,06:46 PM,18,21,24,21,40,4,82,0.0,1016,22,10,33,29,Cape%20Verde
2020-04-07,22,18,0.0,11.6,6,100,06:27 PM,06:00 AM,06:22 AM,06:46 PM,19,24,24,21,44,2,83,0.0,1014,22,10,28,30,Cape%20Verde
2020-04-08,23,21,0.0,11.6,6,100,07:29 PM,06:46 AM,06:21 AM,06:46 PM,19,24,24,22,43,0,81,0.0,1014,23,10,37,29,Cape%20Verde
2020-04-09,23,20,0.0,11.6,6,83,08:31 PM,07:34 AM,06:20 AM,06:46 PM,19,25,25,22,39,0,79,0.0,1013,23,10,35,28,Cape%20Verde
2020-04-10,23,20,0.0,11.6,6,76,09:35 PM,08:22 AM,06:19 AM,06:46 PM,20,25,25,22,39,1,83,0.0,1012,23,10,28,28,Cape%20Verde
2020-04-11,23,21,0.0,11.6,6,68,10:36 PM,09:13 AM,06:19 AM,06:47 PM,20,25,25,22,34,4,85,0.0,1012,23,10,34,24,Cape%20Verde
2020-04-12,23,18,0.0,11.6,6,61,11:37 PM,10:06 AM,06:18 AM,06:47 PM,19,24,24,22,33,1,81,0.0,1014,23,10,33,24,Cape%20Verde
2020-04-13,22,17,0.0,11.6,6,53,No moonrise,11:01 AM,06:17 AM,06:47 PM,19,21,24,21,32,0,81,0.0,1013,22,10,36,23,Cape%20Verde
2020-04-14,22,20,0.0,11.6,6,46,12:33 AM,11:57 AM,06:17 AM,06:47 PM,18,21,24,21,34,0,82,0.0,1014,22,10,37,25,Cape%20Verde
2020-04-15,21,19,0.0,11.6,6,38,01:26 AM,12:51 PM,06:16 AM,06:47 PM,18,20,21,20,32,10,82,0.0,1015,21,10,37,23,Cape%20Verde
2020-04-16,21,18,0.0,11.6,6,30,02:13 AM,01:45 PM,06:15 AM,06:48 PM,17,20,20,20,35,31,79,0.0,1017,21,10,27,25,Cape%20Verde
2020-04-17,21,16,0.0,8.9,5,23,02:57 AM,02:35 PM,06:15 AM,06:48 PM,17,20,23,20,35,57,77,0.0,1016,21,10,19,25,Cape%20Verde
2020-04-18,22,17,0.0,11.6,6,15,03:37 AM,03:25 PM,06:14 AM,06:48 PM,17,20,23,20,43,20,76,0.0,1016,22,10,21,32,Cape%20Verde
2020-04-19,22,17,0.0,8.9,5,8,04:13 AM,04:12 PM,06:13 AM,06:48 PM,17,21,24,21,39,57,77,0.0,1017,22,10,34,30,Cape%20Verde
