date_time,Trinidad%20and%20Tobago_maxtempC,Trinidad%20and%20Tobago_mintempC,Trinidad%20and%20Tobago_totalSnow_cm,Trinidad%20and%20Tobago_sunHour,Trinidad%20and%20Tobago_uvIndex,Trinidad%20and%20Tobago_moon_illumination,Trinidad%20and%20Tobago_moonrise,Trinidad%20and%20Tobago_moonset,Trinidad%20and%20Tobago_sunrise,Trinidad%20and%20Tobago_sunset,Trinidad%20and%20Tobago_DewPointC,Trinidad%20and%20Tobago_FeelsLikeC,Trinidad%20and%20Tobago_HeatIndexC,Trinidad%20and%20Tobago_WindChillC,Trinidad%20and%20Tobago_WindGustKmph,Trinidad%20and%20Tobago_cloudcover,Trinidad%20and%20Tobago_humidity,Trinidad%20and%20Tobago_precipMM,Trinidad%20and%20Tobago_pressure,Trinidad%20and%20Tobago_tempC,Trinidad%20and%20Tobago_visibility,Trinidad%20and%20Tobago_winddirDegree,Trinidad%20and%20Tobago_windspeedKmph,Trinidad%20and%20Tobago_location
2020-02-15,28,23,0.0,7.4,6,45,No moonrise,11:39 AM,06:26 AM,06:14 PM,21,27,27,25,24,63,78,0.4,1014,28,10,84,15,Trinidad%20and%20Tobago
2020-02-16,28,23,0.0,8.8,6,38,12:32 AM,12:28 PM,06:26 AM,06:14 PM,20,27,27,25,25,57,77,0.6,1012,28,10,85,15,Trinidad%20and%20Tobago
2020-02-17,28,23,0.0,8.8,6,30,01:29 AM,01:20 PM,06:26 AM,06:14 PM,21,27,27,25,27,47,80,0.4,1012,28,10,76,17,Trinidad%20and%20Tobago
2020-02-18,28,23,0.0,7.4,6,22,02:24 AM,02:12 PM,06:25 AM,06:14 PM,21,27,27,25,27,60,81,0.4,1013,28,10,84,17,Trinidad%20and%20Tobago
2020-02-19,28,23,0.0,10.2,6,15,03:19 AM,03:05 PM,06:25 AM,06:15 PM,21,27,27,25,28,50,80,0.4,1013,28,10,90,18,Trinidad%20and%20Tobago
2020-02-20,27,23,0.0,11.6,7,7,04:10 AM,03:58 PM,06:25 AM,06:15 PM,20,27,27,24,26,32,77,0.2,1013,27,10,77,16,Trinidad%20and%20Tobago
2020-02-21,28,22,0.0,11.6,7,0,05:00 AM,04:50 PM,06:24 AM,06:15 PM,20,27,27,24,22,11,75,0.0,1013,28,10,80,14,Trinidad%20and%20Tobago
2020-02-22,28,22,0.0,8.8,6,0,05:46 AM,05:40 PM,06:24 AM,06:15 PM,21,27,27,24,19,44,80,1.0,1013,28,10,75,12,Trinidad%20and%20Tobago
2020-02-23,29,22,0.0,8.8,6,0,06:28 AM,06:27 PM,06:23 AM,06:15 PM,21,27,27,25,17,45,82,1.4,1013,29,10,74,10,Trinidad%20and%20Tobago
2020-02-24,28,23,0.0,7.4,6,0,07:09 AM,07:14 PM,06:23 AM,06:15 PM,22,28,28,25,21,60,81,4.8,1013,28,10,101,13,Trinidad%20and%20Tobago
2020-02-25,28,23,0.0,11.6,7,8,07:47 AM,07:59 PM,06:23 AM,06:16 PM,21,27,27,25,22,20,77,0.0,1013,28,10,88,14,Trinidad%20and%20Tobago
2020-02-26,28,23,0.0,11.6,7,15,08:24 AM,08:43 PM,06:22 AM,06:16 PM,20,27,27,25,23,15,77,0.0,1013,28,10,77,15,Trinidad%20and%20Tobago
2020-02-27,28,22,0.0,11.6,6,23,09:01 AM,09:28 PM,06:22 AM,06:16 PM,20,26,26,24,24,24,77,0.2,1014,28,10,76,15,Trinidad%20and%20Tobago
2020-02-28,28,22,0.0,11.6,7,30,09:39 AM,10:13 PM,06:21 AM,06:16 PM,20,26,26,24,25,12,75,0.0,1014,28,10,70,16,Trinidad%20and%20Tobago
2020-02-29,27,23,0.0,8.8,6,38,10:17 AM,11:00 PM,06:21 AM,06:16 PM,20,26,26,24,26,40,77,0.4,1015,27,10,77,16,Trinidad%20and%20Tobago
2020-03-01,27,21,0.0,8.8,6,44,10:59 AM,11:50 PM,06:20 AM,06:16 PM,20,26,26,24,22,32,77,1.0,1015,27,10,75,13,Trinidad%20and%20Tobago
2020-03-02,27,22,0.0,8.8,6,51,11:44 AM,No moonset,06:20 AM,06:16 PM,20,26,26,24,22,43,77,0.8,1014,27,10,68,14,Trinidad%20and%20Tobago
2020-03-03,28,22,0.0,10.2,6,58,12:33 PM,12:42 AM,06:19 AM,06:16 PM,20,27,27,25,21,46,76,1.9,1014,28,10,76,13,Trinidad%20and%20Tobago
2020-03-04,27,23,0.0,7.4,6,65,01:28 PM,01:37 AM,06:19 AM,06:16 PM,21,27,27,24,26,55,80,2.3,1015,27,10,80,16,Trinidad%20and%20Tobago
2020-03-05,28,23,0.0,11.6,6,73,02:25 PM,02:33 AM,06:18 AM,06:16 PM,20,27,27,25,29,31,76,0.5,1015,28,10,82,18,Trinidad%20and%20Tobago
