date_time,Bahrain_maxtempC,Bahrain_mintempC,Bahrain_totalSnow_cm,Bahrain_sunHour,Bahrain_uvIndex,Bahrain_moon_illumination,Bahrain_moonrise,Bahrain_moonset,Bahrain_sunrise,Bahrain_sunset,Bahrain_DewPointC,Bahrain_FeelsLikeC,Bahrain_HeatIndexC,Bahrain_WindChillC,Bahrain_WindGustKmph,Bahrain_cloudcover,Bahrain_humidity,Bahrain_precipMM,Bahrain_pressure,Bahrain_tempC,Bahrain_visibility,Bahrain_winddirDegree,Bahrain_windspeedKmph,Bahrain_location
2020-08-03,37,31,0.0,13.2,9,97,06:30 PM,04:30 AM,05:04 AM,06:23 PM,27,48,48,36,18,0,61,0.0,996,37,10,199,9,Bahrain
2020-08-04,36,32,0.0,13.2,9,100,07:13 PM,05:29 AM,05:05 AM,06:22 PM,22,41,41,36,44,0,46,0.0,994,36,10,279,22,Bahrain
2020-08-05,35,30,0.0,13.2,8,88,07:50 PM,06:26 AM,05:05 AM,06:21 PM,24,41,41,34,40,0,55,0.0,994,35,10,242,22,Bahrain
2020-08-06,36,30,0.0,13.2,9,81,08:24 PM,07:21 AM,05:06 AM,06:21 PM,25,43,43,35,42,0,57,0.0,996,36,10,325,23,Bahrain
2020-08-07,36,30,0.0,13.1,9,74,08:56 PM,08:13 AM,05:06 AM,06:20 PM,25,42,42,35,40,0,53,0.0,995,36,10,330,22,Bahrain
2020-08-08,38,31,0.0,13.1,9,67,09:27 PM,09:05 AM,05:07 AM,06:19 PM,23,42,42,36,25,2,47,0.0,994,38,10,192,13,Bahrain
2020-08-09,37,34,0.0,13.1,9,59,09:57 PM,09:56 AM,05:07 AM,06:18 PM,25,45,45,35,22,17,57,0.0,996,37,10,169,13,Bahrain
2020-08-10,36,34,0.0,13.1,9,52,10:29 PM,10:47 AM,05:08 AM,06:18 PM,25,44,44,35,35,23,56,0.0,997,36,10,236,20,Bahrain
2020-08-11,35,34,0.0,13.1,8,45,11:03 PM,11:39 AM,05:08 AM,06:17 PM,25,43,43,35,42,7,59,0.0,998,35,10,331,26,Bahrain
2020-08-12,35,29,0.0,13.1,8,38,11:41 PM,12:32 PM,05:09 AM,06:16 PM,25,41,41,34,36,9,59,0.0,999,35,10,328,23,Bahrain
2020-08-13,35,34,0.0,13.1,8,30,No moonrise,01:27 PM,05:09 AM,06:15 PM,24,42,42,35,45,5,54,0.0,997,35,10,322,24,Bahrain
2020-08-14,35,30,0.0,13.0,8,23,12:22 AM,02:23 PM,05:10 AM,06:14 PM,24,41,41,34,44,2,55,0.0,994,35,10,319,24,Bahrain
2020-08-15,35,29,0.0,13.0,8,16,01:10 AM,03:21 PM,05:10 AM,06:13 PM,24,40,40,34,40,0,54,0.0,994,35,10,328,22,Bahrain
2020-08-16,35,33,0.0,13.0,8,8,02:04 AM,04:16 PM,05:11 AM,06:13 PM,25,42,42,34,34,0,59,0.0,996,35,10,335,18,Bahrain
2020-08-17,35,29,0.0,13.0,8,1,03:04 AM,05:10 PM,05:11 AM,06:12 PM,24,40,40,33,40,0,57,0.0,996,35,10,328,22,Bahrain
2020-08-18,34,33,0.0,13.0,8,0,04:07 AM,05:59 PM,05:12 AM,06:11 PM,24,41,41,34,42,1,58,0.0,996,34,10,289,25,Bahrain
2020-08-19,34,27,0.0,13.0,8,0,05:13 AM,06:44 PM,05:12 AM,06:10 PM,25,41,41,33,24,1,63,0.0,997,34,10,299,16,Bahrain
2020-08-20,34,30,0.0,13.0,8,6,06:18 AM,07:27 PM,05:13 AM,06:09 PM,24,40,40,33,33,1,57,0.0,997,34,10,324,20,Bahrain
2020-08-21,35,31,0.0,13.0,8,13,07:24 AM,08:06 PM,05:13 AM,06:08 PM,23,39,39,34,39,1,51,0.0,997,35,10,285,21,Bahrain
2020-08-22,36,28,0.0,12.9,8,20,08:28 AM,08:45 PM,05:14 AM,06:07 PM,22,39,39,34,36,1,49,0.0,997,36,10,210,18,Bahrain
2020-08-23,34,32,0.0,12.9,8,28,09:33 AM,09:24 PM,05:14 AM,06:06 PM,26,42,42,34,25,0,64,0.0,997,34,10,114,15,Bahrain
2020-08-24,35,33,0.0,12.9,8,35,10:36 AM,10:05 PM,05:14 AM,06:05 PM,27,44,44,34,16,0,67,0.0,998,35,10,68,10,Bahrain
2020-08-25,35,30,0.0,12.9,8,42,11:41 AM,10:49 PM,05:15 AM,06:04 PM,25,41,41,34,25,0,55,0.0,1000,35,10,254,13,Bahrain
2020-08-26,35,33,0.0,12.9,8,50,12:44 PM,11:38 PM,05:15 AM,06:03 PM,24,41,41,34,25,0,57,0.0,1001,35,10,207,14,Bahrain
2020-08-27,34,32,0.0,12.9,8,57,01:46 PM,No moonset,05:16 AM,06:02 PM,24,40,40,33,15,0,58,0.0,1000,34,10,125,10,Bahrain
2020-08-28,34,29,0.0,12.9,8,64,02:45 PM,12:29 AM,05:16 AM,06:01 PM,24,38,38,32,19,5,59,0.0,999,34,10,220,12,Bahrain
2020-08-29,35,31,0.0,12.8,8,71,03:39 PM,01:25 AM,05:17 AM,06:00 PM,24,40,40,34,19,3,55,0.0,1000,35,10,100,10,Bahrain
2020-08-30,35,31,0.0,11.6,8,79,04:27 PM,02:22 AM,05:17 AM,05:59 PM,24,40,40,34,17,4,55,0.0,1001,35,10,173,9,Bahrain
2020-08-31,34,32,0.0,11.6,8,82,05:10 PM,03:21 AM,05:17 AM,05:58 PM,25,42,42,33,29,0,63,0.0,1002,34,10,100,17,Bahrain
2020-09-01,36,28,0.0,11.6,8,97,05:49 PM,04:17 AM,05:18 AM,05:57 PM,24,39,39,33,34,0,54,0.0,1003,36,10,108,18,Bahrain
2020-09-02,35,33,0.0,11.6,8,100,06:23 PM,05:13 AM,05:18 AM,05:56 PM,24,41,41,34,28,0,55,0.0,1006,35,10,146,15,Bahrain
2020-09-03,34,30,0.0,11.6,8,88,06:56 PM,06:06 AM,05:19 AM,05:55 PM,24,41,41,34,16,0,56,0.0,1007,34,10,149,9,Bahrain
2020-09-04,35,32,0.0,11.6,8,81,07:27 PM,06:58 AM,05:19 AM,05:54 PM,24,39,39,33,24,0,58,0.0,1005,35,10,146,14,Bahrain
2020-09-05,36,32,0.0,11.6,8,73,07:57 PM,07:49 AM,05:20 AM,05:53 PM,25,41,41,33,23,0,60,0.0,1004,36,10,134,14,Bahrain
2020-09-06,35,32,0.0,11.6,8,66,08:28 PM,08:40 AM,05:20 AM,05:52 PM,24,40,40,33,26,0,59,0.0,1004,35,10,144,15,Bahrain
2020-09-07,36,33,0.0,11.6,8,58,09:01 PM,09:31 AM,05:20 AM,05:51 PM,25,41,41,34,20,0,59,0.0,1006,36,10,101,12,Bahrain
2020-09-08,35,26,0.0,11.6,8,50,09:37 PM,10:23 AM,05:21 AM,05:50 PM,24,38,38,32,15,0,57,0.0,1005,35,10,152,10,Bahrain
2020-09-09,37,34,0.0,11.6,9,43,10:16 PM,11:17 AM,05:21 AM,05:49 PM,22,41,41,35,26,0,47,0.0,1003,37,10,187,13,Bahrain
2020-09-10,36,33,0.0,11.6,8,35,11:00 PM,12:12 PM,05:22 AM,05:47 PM,25,42,42,34,23,0,59,0.0,1002,36,10,106,14,Bahrain
2020-09-11,35,33,0.0,11.6,8,28,11:51 PM,01:08 PM,05:22 AM,05:46 PM,25,43,43,34,18,0,60,0.0,1002,35,10,120,11,Bahrain
2020-09-12,36,33,0.0,11.6,8,20,No moonrise,02:03 PM,05:22 AM,05:45 PM,23,41,41,35,20,0,50,0.0,1003,36,10,198,11,Bahrain
