date_time,Chad_maxtempC,Chad_mintempC,Chad_totalSnow_cm,Chad_sunHour,Chad_uvIndex,Chad_moon_illumination,Chad_moonrise,Chad_moonset,Chad_sunrise,Chad_sunset,Chad_DewPointC,Chad_FeelsLikeC,Chad_HeatIndexC,Chad_WindChillC,Chad_WindGustKmph,Chad_cloudcover,Chad_humidity,Chad_precipMM,Chad_pressure,Chad_tempC,Chad_visibility,Chad_winddirDegree,Chad_windspeedKmph,Chad_location
2020-08-29,26,24,0.0,9.2,5,71,03:37 PM,02:23 AM,05:49 AM,06:12 PM,22,27,27,25,21,66,88,16.1,1009,26,9,258,15,Chad
2020-08-30,30,23,0.0,12.6,7,79,04:27 PM,03:19 AM,05:49 AM,06:11 PM,22,29,29,26,14,33,78,0.0,1010,30,10,257,10,Chad
2020-08-31,28,20,0.0,7.9,6,82,05:15 PM,04:13 AM,05:49 AM,06:10 PM,22,28,28,26,14,59,80,17.8,1009,28,9,225,9,Chad
2020-09-01,32,24,0.0,12.6,6,97,05:58 PM,05:05 AM,05:50 AM,06:10 PM,22,30,30,27,15,48,74,6.7,1008,32,9,219,10,Chad
2020-09-02,28,23,0.0,7.9,6,100,06:37 PM,05:55 AM,05:50 AM,06:09 PM,22,28,28,25,14,79,81,29.0,1009,28,8,176,8,Chad
2020-09-03,29,24,0.0,7.9,6,88,07:16 PM,06:42 AM,05:49 AM,06:08 PM,22,28,28,25,16,70,82,25.6,1011,29,8,125,10,Chad
2020-09-04,31,23,0.0,12.6,6,81,07:52 PM,07:28 AM,05:49 AM,06:08 PM,22,29,29,26,12,46,79,1.4,1011,31,9,159,7,Chad
2020-09-05,31,26,0.0,12.6,6,73,08:28 PM,08:13 AM,05:49 AM,06:07 PM,22,30,30,28,19,32,73,0.1,1009,31,10,193,13,Chad
2020-09-06,27,24,0.0,11.8,6,66,09:05 PM,08:58 AM,05:49 AM,06:06 PM,22,28,28,25,21,32,80,1.2,1008,27,10,236,14,Chad
2020-09-07,31,23,0.0,7.9,6,58,09:43 PM,09:44 AM,05:49 AM,06:06 PM,22,30,30,27,19,71,75,3.8,1007,31,10,263,12,Chad
2020-09-08,31,23,0.0,11.8,6,50,10:24 PM,10:31 AM,05:49 AM,06:05 PM,22,30,30,27,20,69,73,15.7,1009,31,9,164,13,Chad
2020-09-09,33,25,0.0,12.6,6,43,11:08 PM,11:21 AM,05:49 AM,06:05 PM,22,31,31,28,15,31,69,0.1,1010,33,10,209,9,Chad
2020-09-10,31,26,0.0,9.2,6,35,11:56 PM,12:12 PM,05:49 AM,06:04 PM,23,31,31,28,23,65,74,3.9,1008,31,10,242,15,Chad
2020-09-11,29,24,0.0,11.8,6,28,No moonrise,01:06 PM,05:49 AM,06:03 PM,22,29,29,26,21,54,78,5.0,1009,29,10,221,14,Chad
2020-09-12,31,23,0.0,12.5,6,20,12:48 AM,02:01 PM,05:49 AM,06:02 PM,21,29,29,26,18,50,74,1.9,1010,31,10,199,12,Chad
2020-09-13,31,24,0.0,11.8,6,13,01:44 AM,02:56 PM,05:49 AM,06:02 PM,21,29,29,27,16,47,74,0.6,1011,31,10,213,10,Chad
2020-09-14,30,21,0.0,11.8,6,5,02:43 AM,03:50 PM,05:49 AM,06:01 PM,22,28,28,26,21,45,79,15.3,1011,30,9,217,13,Chad
2020-09-15,28,24,0.0,7.8,6,0,03:43 AM,04:41 PM,05:49 AM,06:00 PM,21,28,28,26,16,66,77,8.4,1010,28,9,178,10,Chad
2020-09-16,30,24,0.0,12.5,6,0,04:42 AM,05:31 PM,05:49 AM,06:00 PM,22,29,29,27,12,37,75,3.0,1010,30,10,180,8,Chad
2020-09-17,34,25,0.0,10.2,7,0,05:42 AM,06:19 PM,05:49 AM,05:59 PM,22,32,32,29,17,46,67,1.5,1010,34,9,271,11,Chad
2020-09-18,35,25,0.0,11.6,8,2,06:41 AM,07:07 PM,05:49 AM,05:58 PM,21,32,32,29,20,18,65,2.1,1009,35,10,260,13,Chad
2020-09-19,35,26,0.0,11.6,8,10,07:40 AM,07:54 PM,05:49 AM,05:58 PM,20,33,33,30,19,11,59,0.1,1008,35,10,230,12,Chad
2020-09-20,33,25,0.0,6.0,6,17,08:39 AM,08:43 PM,05:49 AM,05:57 PM,21,30,30,28,20,61,70,15.9,1009,33,9,223,12,Chad
2020-09-21,30,23,0.0,11.6,7,25,09:39 AM,09:34 PM,05:49 AM,05:56 PM,20,28,28,26,21,21,72,0.0,1010,30,10,237,14,Chad
2020-09-22,32,23,0.0,11.6,7,32,10:39 AM,10:27 PM,05:49 AM,05:56 PM,20,29,29,27,21,8,68,0.0,1010,32,10,249,12,Chad
2020-09-23,34,25,0.0,11.6,8,40,11:40 AM,11:23 PM,05:49 AM,05:55 PM,20,31,31,29,16,11,58,0.0,1009,34,10,235,9,Chad
2020-09-24,28,25,0.0,11.6,7,47,12:38 PM,No moonset,05:49 AM,05:54 PM,21,29,29,27,20,28,72,0.0,1010,28,10,203,13,Chad
2020-09-25,34,26,0.0,11.6,8,55,01:34 PM,12:18 AM,05:49 AM,05:54 PM,20,32,32,29,18,10,60,0.0,1009,34,10,250,11,Chad
2020-09-26,34,24,0.0,11.6,7,62,02:25 PM,01:15 AM,05:49 AM,05:53 PM,20,30,30,28,22,7,60,0.0,1008,34,10,263,15,Chad
2020-09-27,33,25,0.0,10.2,6,70,03:13 PM,02:09 AM,05:49 AM,05:52 PM,21,30,30,28,18,25,67,0.6,1008,33,10,217,11,Chad
2020-09-28,32,26,0.0,11.6,7,78,03:57 PM,03:01 AM,05:49 AM,05:52 PM,21,31,31,29,18,21,63,0.0,1008,32,10,242,12,Chad
